Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740622776,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.00%,"9.266MiB / 20MiB",46.33%,"1.28kB / 0B","0B / 0B",12
1740622776,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,0.29%,"64.7MiB / 7.637GiB",0.83%,"1.28kB / 0B","0B / 0B",29
1740622776,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.29%,"45.21MiB / 1GiB",4.42%,"1.39kB / 0B","0B / 0B",5
1740622793,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.00%,"9.266MiB / 20MiB",46.33%,"1.28kB / 0B","0B / 0B",12
1740622793,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,0.25%,"64.7MiB / 7.637GiB",0.83%,"1.28kB / 0B","0B / 0B",29
1740622793,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.32%,"45.21MiB / 1GiB",4.42%,"1.39kB / 0B","0B / 0B",5
1740622806,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.00%,"9.266MiB / 20MiB",46.33%,"1.28kB / 0B","0B / 0B",12
1740622806,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,0.24%,"64.7MiB / 7.637GiB",0.83%,"1.28kB / 0B","0B / 0B",29
1740622806,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.32%,"45.21MiB / 1GiB",4.42%,"1.39kB / 0B","0B / 0B",5
1740622823,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.00%,"9.266MiB / 20MiB",46.33%,"1.28kB / 0B","0B / 0B",12
1740622823,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,0.33%,"64.7MiB / 7.637GiB",0.83%,"1.35kB / 0B","0B / 0B",29
1740622823,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.34%,"45.21MiB / 1GiB",4.42%,"1.46kB / 0B","0B / 0B",5
1740622836,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.00%,"9.266MiB / 20MiB",46.33%,"1.35kB / 0B","0B / 0B",12
1740622836,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,0.28%,"64.7MiB / 7.637GiB",0.83%,"1.35kB / 0B","0B / 0B",29
1740622836,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.41%,"45.21MiB / 1GiB",4.42%,"1.46kB / 0B","0B / 0B",5
1740622849,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.00%,"9.266MiB / 20MiB",46.33%,"1.35kB / 0B","0B / 0B",12
1740622849,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,1.12%,"64.7MiB / 7.637GiB",0.83%,"1.35kB / 0B","0B / 0B",29
1740622849,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.43%,"45.21MiB / 1GiB",4.42%,"1.46kB / 0B","0B / 0B",5
1740622865,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.01%,"9.266MiB / 20MiB",46.33%,"1.35kB / 0B","0B / 0B",12
1740622865,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,0.42%,"64.7MiB / 7.637GiB",0.83%,"1.35kB / 0B","0B / 0B",29
1740622865,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.33%,"45.21MiB / 1GiB",4.42%,"1.46kB / 0B","0B / 0B",5
1740622878,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.00%,"9.266MiB / 20MiB",46.33%,"1.35kB / 0B","0B / 0B",12
1740622878,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,0.23%,"64.7MiB / 7.637GiB",0.83%,"1.35kB / 0B","0B / 0B",29
1740622878,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.39%,"45.21MiB / 1GiB",4.42%,"1.46kB / 0B","0B / 0B",5
1740622894,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.00%,"9.266MiB / 20MiB",46.33%,"1.35kB / 0B","0B / 0B",12
1740622894,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,0.31%,"64.76MiB / 7.637GiB",0.83%,"1.35kB / 0B","0B / 0B",29
1740622894,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.32%,"45.21MiB / 1GiB",4.42%,"1.46kB / 0B","0B / 0B",5
1740622907,669dfe948aaf,reverse-proxy-cache-1,669dfe948aaf,0.00%,"9.266MiB / 20MiB",46.33%,"1.35kB / 0B","0B / 0B",12
1740622907,a1a4f12b7d53,reverse-proxy-lb-1,a1a4f12b7d53,0.22%,"64.75MiB / 7.637GiB",0.83%,"1.35kB / 0B","0B / 0B",29
1740622907,7ea92b4a9cd6,reverse-proxy-api-1,7ea92b4a9cd6,0.39%,"45.21MiB / 1GiB",4.42%,"1.46kB / 0B","0B / 0B",5
