DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 10:23:57,10,12,0,1058.5,105.924,6,45.25,271.5,0,0,18,41
2025-03-04 10:23:59,19,23,0,1024.261,67.477,11.5,44.957,517,0,0,6.783,17.13
2025-03-04 10:24:01,23,39,0,1008.692,68.405,19.5,45.205,881.5,0,0,4.179,13.231
2025-03-04 10:24:03,30,52,0,1023.25,62.721,26,45.231,1176,0,0,2.942,12.5
2025-03-04 10:24:05,39,64,0,1033.703,70.431,32,45.234,1447.5,0,0,3.625,12.047
2025-03-04 10:24:07,45,79,0,1011.481,74.129,39.5,45.354,1791.5,0,0,2.392,9.899
2025-03-04 10:24:09,50,93,0,1012.387,64.369,46.5,45.269,2105,0,0,2.742,11.14
2025-03-04 10:24:11,59,106,0,1006.443,65.718,53,45.377,2405,0,0,2.377,10.434
2025-03-04 10:24:13,63,113,0,1017.894,58.506,56.5,45.23,2555.5,0,0,2.239,10.451
2025-03-04 10:24:15,70,129,0,1023.543,60.276,64.5,45.372,2926.5,0,0,2.372,10.031
2025-03-04 10:24:17,80,149,0,1016.53,60.943,74.5,45.463,3387,0,0,1.362,6.383
2025-03-04 10:24:19,85,159,0,1007.736,66.424,79.5,45.283,3600,0,0,1.742,8.289
2025-03-04 10:24:21,90,177,0,1004.808,67.413,88.5,45.418,4019.5,0,0,1.927,8.955
2025-03-04 10:24:23,99,179,0,1012.061,71.191,89.5,45.503,4072.5,0,0,1.872,8.698
2025-03-04 10:24:25,104,203,0,1004.911,68.208,101.5,45.261,4594,0,0,1.897,9.847
2025-03-04 10:24:27,110,212,0,1010.637,67.61,106,45.226,4794,0,0,1.651,10.608
2025-03-04 10:24:29,119,235,0,1007.302,61.235,117.5,45.14,5304,0,0,1.987,10.383
2025-03-04 10:24:31,125,237,0,1006.194,59.977,118.5,45.148,5350,0,0,1.857,11.996
2025-03-04 10:24:33,131,258,0,1013.267,64.87,129,45.151,5824.5,0,0,1.826,11.035
2025-03-04 10:24:35,139,261,0,1008.038,64.038,130.5,45.352,5918.5,0,0,1.847,11.322
2025-03-04 10:24:37,145,282,0,1012.695,62.768,141,45.312,6389,0,0,1.606,8.486
2025-03-04 10:24:39,151,288,0,1007.674,66.777,144,45.347,6530,0,0,1.59,9.052
2025-03-04 10:24:41,159,307,0,1012.857,66.117,153.5,45.241,6944.5,0,0,1.293,8.173
2025-03-04 10:24:43,166,318,0,1013.299,70.896,159,45.377,7215,0,0,1.736,11.522
2025-03-04 10:24:45,171,335,0,1007.104,65.704,167.5,45.209,7572.5,0,0,1.394,9.779
2025-03-04 10:24:47,179,336,0,1011.771,68.266,168,45.101,7577,0,0,1.476,10.098
2025-03-04 10:24:49,185,363,0,1001.083,67.42,181.5,45.154,8195.5,0,0,1.399,9.526
2025-03-04 10:24:51,191,393,0,1005.746,65.974,196.5,45.333,8908,0,0,1.333,8.768
2025-03-04 10:24:53,200,371,0,1005.453,63.953,185.5,45.162,8377.5,0,0,1.243,8.582
2025-03-04 10:24:55,206,405,0,1010.405,66.391,202.5,45.193,9151.5,0,0,1.775,10.168
2025-03-04 10:24:57,211,415,0,1011.082,69.601,207.5,44.986,9334.5,0,0,1.706,13.178
2025-03-04 10:24:59,220,404,0,1020.295,67.93,202,45.035,9097,0,0,1.248,13.569
2025-03-04 10:25:01,227,451,0,1010.712,63.175,225.5,45.022,10152.5,0,0,1.047,9.031
2025-03-04 10:25:03,231,461,0,1004.132,64.235,230.5,45.258,10432,0,0,1.013,6.985
2025-03-04 10:25:05,240,451,0,1021.499,65.277,225.5,44.805,10103.5,0,0,1.16,12.929
2025-03-04 10:25:07,246,479,0,1012.965,66.107,239.5,44.931,10761,0,0,1.067,12.756
2025-03-04 10:25:09,251,494,0,1009.575,70.858,247,45,11115,0,0,1.115,11.093
2025-03-04 10:25:11,260,503,0,1010.217,66.135,251.5,45.004,11318.5,0,0,1.028,11.223
2025-03-04 10:25:13,267,517,0,1009.271,67.171,258.5,45.126,11665,0,0,0.975,7.797
2025-03-04 10:25:15,271,527,0,1013.085,64.026,263.5,45.161,11900,0,0,0.985,8.169
2025-03-04 10:25:17,280,541,0,1014.645,68.72,270.5,44.922,12151.5,0,0,0.965,12.39
2025-03-04 10:25:19,286,553,0,1011.731,64.973,276.5,44.671,12351.5,0,0,0.902,13.533
2025-03-04 10:25:21,291,553,0,1023.421,70.819,276.5,44.537,12314.5,0,0,0.94,24.052
2025-03-04 10:25:23,300,583,0,1017.202,73.491,291.5,44.72,13036,0,0,1.014,23.509
2025-03-04 10:25:25,306,598,0,1008.736,67.789,299,44.846,13409,0,0,1.291,11.659
2025-03-04 10:25:27,311,615,0,1015.717,67.935,307.5,44.777,13769,0,0,0.852,13.176
2025-03-04 10:25:29,320,610,0,1019.477,70.041,305,44.638,13614.5,0,0,0.949,18.239
2025-03-04 10:25:31,326,657,0,1011.633,66.234,328.5,45.014,14787,0,0,0.863,8.903
2025-03-04 10:25:33,331,624,0,1026.776,76.269,312,44.487,13880,0,0,0.897,29.79
2025-03-04 10:25:35,340,659,0,1006.599,64.971,329.5,45.112,14864.5,0,0,0.78,6.982
2025-03-04 10:25:37,346,692,0,1013.581,69.787,346,44.811,15504.5,0,0,0.704,11.987
2025-03-04 10:25:39,351,697,0,1009.739,65.154,348.5,45.165,15740,0,0,1.098,7.65
2025-03-04 10:25:41,360,694,0,1017.549,66.127,347,44.72,15518,0,0,1.183,15.02
2025-03-04 10:25:43,368,712,0,1015.341,66.148,356,44.803,15950,0,0,1.251,14.865
2025-03-04 10:25:45,371,712,0,1030.013,71.147,356,44.423,15814.5,0,0,0.99,27.084
2025-03-04 10:25:47,380,743,0,1017.962,69.872,371.5,44.631,16580.5,0,0,0.826,18.863
2025-03-04 10:25:49,387,756,0,1017.073,70.965,378,44.59,16855,0,0,0.683,19.029
2025-03-04 10:25:51,391,770,0,1004.874,63.891,385,45.005,17327,0,0,0.623,7.977
2025-03-04 10:25:53,400,739,0,1044.755,93.533,369.5,44.445,16422.5,0,0,0.87,44.337
2025-03-04 10:25:55,410,783,0,1024.25,78.094,391.5,44.497,17420.5,0,0,0.78,25.149
2025-03-04 10:25:57,411,782,0,1039.935,76.143,391,44.142,17259.5,0,0,0.806,40
