DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 09:41:11,11,19,0,1061.579,62.337,9.5,44.316,421,0,0,12.053,40.158
2025-03-04 09:41:13,20,46,0,1024.587,65.837,23,44.457,1022.5,0,0,3.826,18.543
2025-03-04 09:41:15,30,47,0,1023.553,73.983,23.5,44.404,1043.5,0,0,3.723,18.83
2025-03-04 09:41:17,31,55,0,1013.745,57.129,27.5,44.4,1221,0,0,2.473,15.655
2025-03-04 09:41:19,40,57,0,1016.263,70.029,28.5,44.368,1264.5,0,0,1.86,13.509
2025-03-04 09:41:21,48,83,0,1018.687,57.26,41.5,44,1826,0,0,2.434,18.723
2025-03-04 09:41:23,53,98,0,1000.5,78.39,49,44.388,2175,0,0,1.939,15.724
2025-03-04 09:41:25,60,110,0,1019.636,62.99,55,44.127,2427,0,0,2.164,18.036
2025-03-04 09:41:27,70,121,0,1010.099,75.717,60.5,44.289,2679.5,0,0,2.19,18.835
2025-03-04 09:41:29,75,138,0,1030.203,70.536,69,44.181,3048.5,0,0,1.768,16.848
2025-03-04 09:41:31,80,149,0,1016.423,63.04,74.5,44.154,3289.5,0,0,2.081,17.188
2025-03-04 09:41:33,89,166,0,1013.554,66.297,83,44.066,3657.5,0,0,1.873,18.675
2025-03-04 09:41:35,95,173,0,1019.705,65.907,86.5,44.092,3814,0,0,1.879,16.96
2025-03-04 09:41:37,100,188,0,1024.883,64.652,94,44.261,4160.5,0,0,1.979,17.83
2025-03-04 09:41:39,108,198,0,1018.778,68.781,99,44.116,4367.5,0,0,2.025,15.389
2025-03-04 09:41:41,115,221,0,1022.489,66.844,110.5,44.195,4883.5,0,0,1.991,18.525
2025-03-04 09:41:43,120,227,0,1014.361,59.701,113.5,44.256,5023,0,0,1.608,15.612
2025-03-04 09:41:45,129,243,0,1017.222,59.37,121.5,44.206,5371,0,0,1.387,15.428
2025-03-04 09:41:47,135,255,0,1020.361,64.373,127.5,44.188,5634,0,0,1.604,18.624
2025-03-04 09:41:49,140,268,0,1026.53,67.007,134,43.97,5892,0,0,1.459,21.672
2025-03-04 09:41:51,149,281,0,1028.466,73.333,140.5,44.053,6189.5,0,0,1.619,22.274
2025-03-04 09:41:53,154,293,0,1026.29,73.82,146.5,43.87,6427,0,0,1.416,32.703
2025-03-04 09:41:55,160,306,0,1026.343,70.549,153,44.281,6775,0,0,1.265,18.876
2025-03-04 09:41:57,169,319,0,1018.013,67.299,159.5,44.332,7071,0,0,1.232,16.025
2025-03-04 09:41:59,176,339,0,1019.608,65.162,169.5,44.094,7474,0,0,1.006,17.699
2025-03-04 09:42:01,180,353,0,1016.507,65.281,176.5,44.433,7842.5,0,0,1,12.983
2025-03-04 09:42:03,188,351,0,1010.567,67.237,175.5,44.202,7757.5,0,0,1.219,16.077
2025-03-04 09:42:05,194,373,0,1013.603,65.627,186.5,44.252,8253,0,0,1.217,16.611
2025-03-04 09:42:07,200,381,0,1026.769,71.561,190.5,43.94,8370.5,0,0,0.929,28.276
2025-03-04 09:42:09,208,392,0,1021.306,65.291,196,44.235,8670,0,0,0.952,16.36
2025-03-04 09:42:11,215,397,0,1035.793,75.569,198.5,44.035,8741,0,0,0.816,33.237
2025-03-04 09:42:13,220,430,0,1050.844,88.728,215,43.753,9407,0,0,0.867,49.963
2025-03-04 09:42:15,228,438,0,1016.733,66.677,219,44.356,9714,0,0,0.847,15.639
