DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-03 15:45:27,10,17,0,1034.765,71.605,8.5,45.824,389.5,0,0,12.059,23.176
2025-03-03 15:45:29,20,30,0,1006.967,70.28,15,46,690,0,0,4.833,8.367
2025-03-03 15:45:31,26,41,0,1012.024,53.756,20.5,45.707,937,0,0,3.805,5.707
2025-03-03 15:45:33,30,58,0,1005.828,66.141,29,43.103,1250,0,0,3.31,6.603
2025-03-03 15:45:35,40,66,0,1005.606,71.695,33,43,1419,0,0,3.5,5.576
2025-03-03 15:45:37,48,80,0,1010.737,64.765,40,42.987,1719.5,0,0,4.15,7.688
2025-03-03 15:45:39,56,120,0,1010.967,61.602,60,42.042,2522.5,0,0,2.667,6.042
2025-03-03 15:45:41,60,131,0,1001.565,60.255,65.5,42,2751,0,0,2.282,4.542
2025-03-03 15:45:43,70,126,0,1004.754,72.034,63,42,2646,0,0,2.048,3.849
2025-03-03 15:45:45,76,143,0,1005.622,63.752,71.5,42.909,3068,0,0,1.776,4
2025-03-03 15:45:47,80,152,0,1003.132,62.848,76,43,3268,0,0,2.072,4.079
2025-03-03 15:45:49,90,167,0,1008.102,68.905,83.5,43,3590.5,0,0,1.826,3.323
2025-03-03 15:45:51,96,178,0,1005.528,68.19,89,43,3827,0,0,1.674,3.264
2025-03-03 15:45:53,100,195,0,996.682,70.166,97.5,43,4192.5,0,0,2.149,3.995
2025-03-03 15:45:55,110,205,0,1010.151,63.671,102.5,43,4407.5,0,0,1.693,3.039
2025-03-03 15:45:57,118,218,0,1008.995,66.604,109,43.872,4782,0,0,1.564,3.284
2025-03-03 15:45:59,120,242,0,1000.917,66.542,121,44,5324,0,0,1.88,3.793
2025-03-03 15:46:01,130,245,0,1005.6,63.335,122.5,44,5390,0,0,1.682,3.416
2025-03-03 15:46:03,137,258,0,1005.302,64.62,129,42.256,5451,0,0,1.899,4.492
2025-03-03 15:46:05,140,277,0,1006.224,60.154,138.5,42,5817,0,0,1.69,3.368
2025-03-03 15:46:07,150,282,0,1000.383,65.05,141,42,5922,0,0,1.674,3.23
2025-03-03 15:46:09,156,306,0,995.81,61.583,153,43.797,6701,0,0,1.431,2.817
2025-03-03 15:46:11,166,475,0,1002.345,66.153,237.5,44,10450,0,0,1.528,3.065
2025-03-03 15:46:13,170,337,0,1007.736,66.509,168.5,44,7414,0,0,2.62,5.05
2025-03-03 15:46:15,180,343,0,1009.227,60.754,171.5,43.977,7542,0,0,1.513,4.35
2025-03-03 15:46:17,189,352,0,1004.094,64.867,176,44,7744,0,0,1.599,2.935
2025-03-03 15:46:19,190,381,0,1003.832,65.708,190.5,44,8382,0,0,1.388,2.698
2025-03-03 15:46:21,200,386,0,1012.902,65.972,193,43.992,8490.5,0,0,1.767,3.837
2025-03-03 15:46:23,206,401,0,1004.589,66.727,200.5,44,8822,0,0,1.379,2.82
2025-03-03 15:46:25,210,412,0,1004.345,62.556,206,44,9064,0,0,1.857,3.784
2025-03-03 15:46:27,220,420,0,1008.186,65.064,210,43.993,9238.5,0,0,1.817,4.25
2025-03-03 15:46:29,227,444,0,1003.225,68.315,222,44,9768,0,0,1.514,2.901
2025-03-03 15:46:31,230,455,0,1000.938,64.799,227.5,44,10010,0,0,1.149,2.226
2025-03-03 15:46:33,240,469,0,1002.565,68.93,234.5,43.996,10317,0,0,1.601,3.365
2025-03-03 15:46:35,246,483,0,1000.327,65.206,241.5,44,10626,0,0,1.729,3.634
2025-03-03 15:46:37,250,499,0,1002.523,65.787,249.5,44,10978,0,0,1.723,3.076
2025-03-03 15:46:39,260,509,0,1001.937,65.162,254.5,43.992,11196,0,0,1.306,2.894
2025-03-03 15:46:41,268,513,0,1007.522,66.798,256.5,44,11286,0,0,1.257,2.645
2025-03-03 15:46:43,278,818,0,1001.368,66.038,409,44,17996,0,0,1.379,2.655
2025-03-03 15:46:45,281,560,0,1019.905,80.582,280,43.916,12296.5,0,0,1.795,15.148
2025-03-03 15:46:47,290,567,0,1005.37,64.281,283.5,44,12474,0,0,1.192,2.34
2025-03-03 15:46:49,297,572,0,1005.563,67.322,286,44,12584,0,0,1.182,2.339
2025-03-03 15:46:51,300,595,0,1004.151,65.757,297.5,44.908,13360,0,0,1.331,3.119
2025-03-03 15:46:53,310,607,0,1004.972,66.582,303.5,45,13657.5,0,0,1.344,2.465
2025-03-03 15:46:55,319,622,0,1003.236,66.275,311,45,13995,0,0,1.209,2.494
2025-03-03 15:46:57,320,634,0,1007.284,62.65,317,44.073,13971,0,0,1.155,3.101
2025-03-03 15:46:59,330,644,0,1006.573,67.816,322,44,14168,0,0,0.95,1.772
2025-03-03 15:47:01,337,660,0,1002.095,66.339,330,44,14520,0,0,1.212,2.411
2025-03-03 15:47:03,341,669,0,1009.173,67.932,334.5,41.271,13805,0,0,2.363,5.499
2025-03-03 15:47:05,350,678,0,1002.032,65.73,339,41,13899,0,0,1.004,1.842
2025-03-03 15:47:07,357,706,0,1002.829,67.483,353,41,14473,0,0,0.907,1.848
2025-03-03 15:47:09,361,709,0,1003.168,65.481,354.5,44.601,15811,0,0,1.037,3.003
2025-03-03 15:47:11,370,730,0,1003.421,67.706,365,45,16425,0,0,0.893,1.679
2025-03-03 15:47:13,378,890,0,1003.834,66.356,445,45,20025,0,0,1.018,1.998
2025-03-03 15:47:15,387,996,0,1005.828,69.796,498,43.64,21732.5,0,0,-0.15,2.012
2025-03-03 15:47:17,391,780,0,1004.974,68.204,390,43,16770,0,0,1.733,3.212
2025-03-03 15:47:19,400,781,0,1002.14,63.203,390.5,43,16791.5,0,0,1.38,2.709
2025-03-03 15:47:21,406,808,0,1005.094,65.997,404,43.899,17735,0,0,1.15,2.588
2025-03-03 15:47:23,411,807,0,1005.944,66.023,403.5,44,17754,0,0,1.326,2.332
2025-03-03 15:47:25,420,824,0,1000.525,66.031,412,44,18128,0,0,1.291,2.428
2025-03-03 15:47:27,427,831,0,1008.167,71.277,415.5,43.14,17924.5,0,0,1.948,6.207
2025-03-03 15:47:29,433,863,0,1004.242,66.974,431.5,43,18554.5,0,0,1.585,2.721
2025-03-03 15:47:31,440,862,0,1002.849,66.37,431,43.006,18535.5,0,0,1.181,2.276
2025-03-03 15:47:33,448,892,0,1003.86,65.415,446,42.137,18793,0,0,1.149,2.954
2025-03-03 15:47:35,453,903,0,1002.002,65.097,451.5,42,18963,0,0,1.489,2.699
2025-03-03 15:47:37,460,902,0,1002.899,64.475,451,42,18942,0,0,0.987,1.943
2025-03-03 15:47:39,467,928,0,1003.74,69.848,464,42.974,19940,0,0,1.023,3.801
2025-03-03 15:47:41,472,929,0,1007.728,66.136,464.5,43,19973.5,0,0,1.802,3.156
2025-03-03 15:47:43,480,942,0,1005.665,67.262,471,43.002,20254,0,0,2.19,4.154
2025-03-03 15:47:45,490,1462,0,1001.854,66.398,731,42.053,30740.5,0,0,0.731,1.105
2025-03-03 15:47:47,497,1004,0,1009.192,67.177,502,42,21084,0,0,3.277,5.135
2025-03-03 15:47:49,503,997,0,1003.036,69.237,498.5,42.005,20939.5,0,0,1.001,2.033
2025-03-03 15:47:51,510,1008,0,1004.306,65.571,504,42.941,21642.5,0,0,0.955,2.675
2025-03-03 15:47:53,517,1021,0,1006.163,67.604,510.5,43,21951.5,0,0,1.272,2.49
2025-03-03 15:47:55,522,1014,0,1010.224,70.62,507,43,21801,0,0,4.073,7.204
2025-03-03 15:47:57,530,1054,0,1010.787,69.385,527,43.964,23169,0,0,2.866,8.223
2025-03-03 15:47:59,538,1067,0,1004.409,66.7,533.5,44,23474,0,0,1.151,2.089
2025-03-03 15:48:01,542,1062,0,1003.073,67.346,531,43.998,23363,0,0,1.149,2.184
2025-03-03 15:48:03,550,1094,0,1005.382,71.76,547,43.065,23556.5,0,0,1.654,6.124
2025-03-03 15:48:05,559,1103,0,1004.655,69.013,551.5,43,23714.5,0,0,3.273,5.966
2025-03-03 15:48:07,562,1103,0,1001.358,67.1,551.5,43.015,23722.5,0,0,0.976,2.006
2025-03-03 15:48:09,570,1136,0,1001.287,65.793,568,43.932,24953.5,0,0,1.103,2.303
2025-03-03 15:48:11,578,1149,0,1001.071,64.622,574.5,44,25278,0,0,2.201,3.683
2025-03-03 15:48:13,582,1148,0,1002.084,67.314,574,43.984,25247,0,0,1.105,2.083
2025-03-03 15:48:15,590,1173,0,1002.528,66.24,586.5,43.955,25779.5,0,0,0.64,1.833
2025-03-03 15:48:17,600,1778,0,1004.975,66.574,889,44,39116,0,0,0.424,1.08
2025-03-03 15:48:19,608,1196,0,1001.508,64.761,598,44.002,26313,0,0,0.426,0.86
2025-03-03 15:48:21,613,1222,0,1002.869,66.454,611,44.003,26886,0,0,0.66,1.245
2025-03-03 15:48:23,620,1237,0,1000.544,65.717,618.5,44,27214,0,0,0.776,1.399
2025-03-03 15:48:25,629,1262,0,999.677,66.723,631,43.983,27753.5,0,0,0.777,1.615
2025-03-03 15:48:27,633,1253,0,1008.804,66.885,626.5,43.049,26970.5,0,0,1.733,4.52
2025-03-03 15:48:29,640,1274,0,999.818,66.33,637,43,27391,0,0,0.705,1.416
2025-03-03 15:48:31,649,1263,0,1003.166,67.206,631.5,43.01,27160.5,0,0,0.675,1.734
2025-03-03 15:48:33,654,1304,0,1006.145,75.72,652,43.837,28582,0,0,1.85,8.512
2025-03-03 15:48:35,660,1309,0,1005.855,67.571,654.5,44,28798,0,0,2.354,4.021
2025-03-03 15:48:37,670,1359,0,1007.641,69.379,679.5,43.93,29850.5,0,0,3.23,7.877
2025-03-03 15:48:39,674,1353,0,1002.069,66.823,676.5,42.046,28444,0,0,0.65,2.965
2025-03-03 15:48:41,680,1354,0,1001.403,67.787,677,42,28434,0,0,1.462,3.371
2025-03-03 15:48:43,688,1258,0,1007.368,66.722,629,42.017,26428.5,0,0,2.258,3.926
2025-03-03 15:48:45,693,1411,0,1003.808,66.299,705.5,42.947,30299,0,0,1.595,3.629
2025-03-03 15:48:47,700,1380,0,1000.59,67.176,690,43,29670,0,0,0.879,1.706
2025-03-03 15:48:49,710,2191,0,1005.968,69.315,1095.5,42.99,47095.5,0,0,2.019,4.987
2025-03-03 15:48:51,719,1425,0,1007.256,67.777,712.5,42.047,29958.5,0,0,3.124,5.986
2025-03-03 15:48:53,726,1412,0,1000.386,65.094,706,42,29652,0,0,0.605,1.185
2025-03-03 15:48:55,730,1440,0,1013.813,74.976,720,42.135,30337,0,0,4.631,11.131
2025-03-03 15:48:57,740,1463,0,1010.131,72.642,731.5,43.908,32118.5,0,0,3.906,10.453
