DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-03 15:29:02,10,17,0,1034.882,64.786,8.5,45.882,390,0,0,10.882,22.353
2025-03-03 15:29:04,20,28,0,990.929,65.441,14,46,644,0,0,3.929,7.5
2025-03-03 15:29:06,27,41,0,990.951,60.659,20.5,45.146,925.5,0,0,3.537,6.707
2025-03-03 15:29:08,32,63,0,1012.794,62.752,31.5,43,1354.5,0,0,5,7.254
2025-03-03 15:29:10,40,69,0,1004.609,59.794,34.5,43,1483.5,0,0,2.507,4.261
2025-03-03 15:29:12,47,84,0,1006.845,68.099,42,43.429,1824,0,0,2.619,5.214
2025-03-03 15:29:14,54,93,0,1006.871,67.95,46.5,44,2046,0,0,2.591,5.215
2025-03-03 15:29:16,60,113,0,999.699,71.619,56.5,44,2486,0,0,3.071,5.788
2025-03-03 15:29:18,67,119,0,1008.723,61.849,59.5,43.958,2615.5,0,0,2.622,7.017
2025-03-03 15:29:20,78,208,0,1008.856,70.269,104,44,4576,0,0,1.889,3.673
2025-03-03 15:29:22,84,157,0,1004.58,63.598,78.5,44,3454,0,0,1.694,3.573
2025-03-03 15:29:24,90,169,0,1008.095,63.168,84.5,43.136,3645,0,0,2.444,6.479
2025-03-03 15:29:26,97,181,0,1002.16,65.814,90.5,42,3801,0,0,2.276,4.773
2025-03-03 15:29:28,104,194,0,1005.804,66.516,97,42,4074,0,0,2.041,4.371
2025-03-03 15:29:30,110,217,0,1003.171,69.171,108.5,42.465,4607.5,0,0,1.834,4.078
2025-03-03 15:29:32,117,226,0,1000.111,64.46,113,43,4859,0,0,1.876,3.894
2025-03-03 15:29:34,124,239,0,1007.293,65.24,119.5,43,5138.5,0,0,2.134,4.435
2025-03-03 15:29:36,130,251,0,1001.307,64.687,125.5,43.462,5454.5,0,0,1.773,3.829
2025-03-03 15:29:38,137,263,0,1006.057,63.562,131.5,44,5786,0,0,2.217,3.787
2025-03-03 15:29:40,144,273,0,1009.429,68.54,136.5,44,6006,0,0,2.216,4.333
2025-03-03 15:29:42,150,295,0,1007.424,60.235,147.5,44,6490,0,0,2.014,4.051
2025-03-03 15:29:44,159,309,0,1010.848,66.633,154.5,44,6798,0,0,2.016,3.628
2025-03-03 15:29:46,164,311,0,1002.637,66.27,155.5,44,6842,0,0,1.653,3.405
2025-03-03 15:29:48,170,338,0,1005.757,61.874,169,43.5,7351.5,0,0,1.683,3.417
