DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 15:35:25,10,16,0,1054.562,90.775,8,44,352,0,0,10.688,20.438
2025-02-28 15:35:27,20,28,0,1002.964,52.209,14,44,616,0,0,3.821,6.357
2025-02-28 15:35:29,27,41,0,1005.122,75.401,20.5,44,902,0,0,2.976,5.537
2025-02-28 15:35:31,30,55,0,996,58.438,27.5,44,1210,0,0,3.764,5.709
2025-02-28 15:35:33,40,65,0,1007.354,63.226,32.5,44,1430,0,0,3.369,5.354
2025-02-28 15:35:35,47,82,0,1006.415,65.779,41,43.817,1796.5,0,0,3.61,7.659
2025-02-28 15:35:37,50,95,0,1005.905,65.736,47.5,43,2042.5,0,0,2.516,4.305
2025-02-28 15:35:39,60,104,0,1005.433,60.457,52,43,2236,0,0,1.913,3.337
2025-02-28 15:35:41,67,123,0,1016.22,73.849,61.5,43.195,2656.5,0,0,2.244,5.13
2025-02-28 15:35:43,70,142,0,999.077,70.733,71,44,3124,0,0,2.275,3.937
2025-02-28 15:35:45,80,146,0,1006.973,68.42,73,44,3212,0,0,1.664,3.493
2025-02-28 15:35:47,87,161,0,1002.807,68.126,80.5,44,3542,0,0,1.311,2.509
2025-02-28 15:35:49,90,183,0,997.448,64.05,91.5,44,4026,0,0,1.372,2.956
2025-02-28 15:35:51,100,191,0,1004.272,66.523,95.5,44,4202,0,0,1.44,2.56
2025-02-28 15:35:53,108,201,0,999,71.79,100.5,44,4422,0,0,1.055,2.194
2025-02-28 15:35:55,111,223,0,1002.789,65.735,111.5,44,4906,0,0,1.283,2.265
2025-02-28 15:35:57,120,226,0,996.735,58.636,113,44,4972,0,0,1.429,2.553
2025-02-28 15:35:59,128,252,0,1006.25,64.642,126,43.702,5506.5,0,0,1.349,2.794
2025-02-28 15:36:01,131,268,0,1002.91,65.553,134,43,5762,0,0,1.037,1.78
2025-02-28 15:36:03,140,266,0,1002.274,62.169,133,43,5719,0,0,1.169,2.105
2025-02-28 15:36:05,148,277,0,1005.874,67.627,138.5,44.069,6103.5,0,0,0.935,1.989
2025-02-28 15:36:07,151,297,0,998.172,62.444,148.5,46,6831,0,0,1.354,2.529
2025-02-28 15:36:09,160,313,0,1006.7,69.233,156.5,46,7199,0,0,1.022,1.895
2025-02-28 15:36:11,170,319,0,1001.991,62.99,159.5,45.643,7280,0,0,1.163,2.1
2025-02-28 15:36:13,173,340,0,1006.176,66.523,170,45,7650,0,0,1.388,2.432
2025-02-28 15:36:15,180,350,0,1004.086,65.87,175,45,7875,0,0,1.134,1.997
2025-02-28 15:36:17,189,364,0,1001.788,69.721,182,45.008,8191.5,0,0,1.041,2.058
2025-02-28 15:36:19,191,380,0,1006.924,64.521,190,45,8550,0,0,1.103,2.079
2025-02-28 15:36:21,200,390,0,996.803,66.572,195,45,8775,0,0,0.987,1.705
2025-02-28 15:36:23,209,423,0,1000.879,63.752,211.5,45,9517.5,0,0,0.974,1.757
2025-02-28 15:36:25,211,420,0,993.545,64.542,210,45,9450,0,0,0.833,1.69
2025-02-28 15:36:27,220,429,0,998.746,64.197,214.5,45,9652.5,0,0,0.804,1.562
2025-02-28 15:36:29,229,444,0,1007.39,64.487,222,44.135,9798,0,0,0.809,2.878
2025-02-28 15:36:31,232,453,0,1006.541,65.814,226.5,43,9739.5,0,0,0.954,1.759
2025-02-28 15:36:33,240,470,0,1007.104,66.293,235,43,10105,0,0,0.817,1.5
2025-02-28 15:36:35,250,480,0,1002.423,70.156,240,43.444,10426.5,0,0,0.779,1.506
2025-02-28 15:36:37,253,501,0,998.938,64.787,250.5,44,11022,0,0,0.687,1.236
2025-02-28 15:36:39,260,517,0,997.466,64.42,258.5,44,11374,0,0,0.865,1.52
2025-02-28 15:36:41,270,522,0,1009.209,67.046,261,44.441,11599,0,0,0.799,1.467
2025-02-28 15:36:43,272,531,0,1005.024,66.654,265.5,45,11947.5,0,0,1.524,2.544
2025-02-28 15:36:45,280,571,0,1003.403,63.783,285.5,45,12847.5,0,0,0.788,1.394
2025-02-28 15:36:47,290,557,0,1001.28,66.836,278.5,44.959,12521,0,0,0.815,1.77
2025-02-28 15:36:49,291,582,0,1007.177,66.511,291,45,13095,0,0,0.78,1.347
2025-02-28 15:36:51,300,586,0,1007.91,64.44,293,45,13185,0,0,0.852,1.435
2025-02-28 15:36:53,309,599,0,999.674,64.243,299.5,44.534,13338,0,0,0.649,1.339
2025-02-28 15:36:55,313,618,0,1008.714,65.62,309,44,13596,0,0,0.767,1.458
2025-02-28 15:36:57,320,624,0,1005.901,66.824,312,44,13728,0,0,0.88,1.487
2025-02-28 15:36:59,329,636,0,1003.879,66.622,318,43.102,13706.5,0,0,0.734,1.476
2025-02-28 15:37:01,332,675,0,998.399,66.41,337.5,42,14175,0,0,0.683,1.221
2025-02-28 15:37:03,340,662,0,996.517,61.782,331,42,13902,0,0,0.634,1.134
2025-02-28 15:37:05,349,686,0,1004.007,67.283,343,43.872,15048,0,0,0.719,1.532
2025-02-28 15:37:07,351,694,0,1001.807,68.288,347,46,15962,0,0,0.738,1.429
2025-02-28 15:37:09,360,714,0,1004.901,66.725,357,46,16422,0,0,0.727,1.354
2025-02-28 15:37:11,368,728,0,1000.137,66.909,364,45.043,16395.5,0,0,0.75,1.577
2025-02-28 15:37:13,371,731,0,1001.978,65.615,365.5,44,16082,0,0,0.67,1.256
2025-02-28 15:37:15,380,795,0,1006.795,64.868,397.5,44,17490,0,0,0.76,1.41
2025-02-28 15:37:17,387,769,0,1004.506,66.166,384.5,44.001,16918.5,0,0,0.676,1.182
2025-02-28 15:37:19,391,780,0,999.546,65.866,390,44,17160,0,0,0.659,1.185
2025-02-28 15:37:21,400,784,0,1002.267,66.055,392,44,17248,0,0,1.297,2.242
2025-02-28 15:37:23,408,803,0,1003.72,67.533,401.5,44.004,17667.5,0,0,1.237,2.149
2025-02-28 15:37:25,411,811,0,1003.589,67.413,405.5,44,17842,0,0,0.771,1.53
2025-02-28 15:37:27,420,837,0,1000,65.85,418.5,44,18414,0,0,0.928,1.756
2025-02-28 15:37:29,429,841,0,1004.691,67.624,420.5,42.515,17877.5,0,0,1.193,2.504
2025-02-28 15:37:31,431,641,0,1001.956,65.872,320.5,41,13140.5,0,0,0.814,1.724
2025-02-28 15:37:33,440,874,0,1004.373,67.119,437,41,17917,0,0,0.778,1.538
2025-02-28 15:37:35,448,886,0,997.997,64.512,443,42.193,18691.5,0,0,0.721,1.483
2025-02-28 15:37:37,451,901,0,998.898,65.579,450.5,45,20272.5,0,0,0.715,1.323
2025-02-28 15:37:39,460,900,0,1001.421,65.289,450,45,20250,0,0,0.734,1.337
2025-02-28 15:37:41,470,920,0,1002.728,66.163,460,44.708,20565.5,0,0,0.715,1.73
2025-02-28 15:37:43,471,928,0,1001.597,65.363,464,44,20416,0,0,1.365,2.01
2025-02-28 15:37:45,480,969,0,1000.528,66.452,484.5,44,21318,0,0,0.902,1.757
2025-02-28 15:37:47,489,950,0,1000.655,67.729,475,44.284,21035,0,0,0.728,1.385
2025-02-28 15:37:49,491,983,0,1001.152,65.895,491.5,45,22117.5,0,0,2.076,3.081
2025-02-28 15:37:51,500,987,0,1002.895,65.888,493.5,45,22207.5,0,0,1.135,2.292
2025-02-28 15:37:53,509,997,0,1000.602,66.473,498.5,44.184,22025.5,0,0,1.273,3.151
2025-02-28 15:37:55,511,1011,0,1000.198,65.912,505.5,42,21231,0,0,0.713,1.356
2025-02-28 15:37:57,520,1026,0,1002.64,65.53,513,42,21546,0,0,0.576,1.074
2025-02-28 15:37:59,528,1044,0,1003.915,66.675,522,42.569,22221,0,0,0.617,1.115
2025-02-28 15:38:01,531,1067,0,1004.011,65.441,533.5,44,23474,0,0,0.67,1.215
2025-02-28 15:38:03,540,1106,0,998.282,65.729,553,44,24332,0,0,0.635,1.137
2025-02-28 15:38:05,549,1078,0,1003.435,66.828,539,43.334,23357,0,0,1.307,2.777
2025-02-28 15:38:07,551,1090,0,1003.202,66.673,545,42,22890,0,0,0.752,1.359
2025-02-28 15:38:09,560,1107,0,1003.546,66.991,553.5,42,23247,0,0,0.671,1.165
2025-02-28 15:38:11,568,1122,0,1006.238,69.533,561,42.326,23745,0,0,0.679,6.625
2025-02-28 15:38:13,571,1145,0,1003.624,66.537,572.5,43,24617.5,0,0,2.47,3.797
2025-02-28 15:38:15,580,1139,0,1003.427,65.358,569.5,43,24488.5,0,0,0.67,1.23
2025-02-28 15:38:17,588,1168,0,998.793,65.671,584,43.354,25318.5,0,0,0.579,1.17
2025-02-28 15:38:19,591,1178,0,1000.123,65.31,589,44,25916,0,0,0.564,1.132
2025-02-28 15:38:21,600,1191,0,1004.726,65.225,595.5,44,26202,0,0,1.029,1.719
2025-02-28 15:38:23,609,1187,0,1000.971,67.038,593.5,44.006,26117.5,0,0,0.537,0.93
2025-02-28 15:38:25,611,1229,0,1001.539,65.486,614.5,44,27038,0,0,0.731,1.33
2025-02-28 15:38:27,620,1255,0,997.654,66.691,627.5,44,27610,0,0,1.41,2.246
2025-02-28 15:38:29,629,1245,0,1004.018,68.654,622.5,43.999,27389.5,0,0,2.141,3.455
