DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 10:12:51,10,15,0,1052.867,78.748,7.5,44.267,332,0,0,11.933,29.933
2025-03-04 10:12:53,19,34,0,1039.559,60.297,17,44.029,748.5,0,0,3.559,18.382
2025-03-04 10:12:55,26,40,0,1016.9,70.669,20,43.875,877.5,0,0,3.325,19.35
2025-03-04 10:12:57,30,58,0,1030.879,70.996,29,44.207,1282,0,0,2,18.483
2025-03-04 10:12:59,39,69,0,1011.029,59.024,34.5,44.072,1520.5,0,0,2.522,16.101
2025-03-04 10:13:01,47,81,0,1012.704,68.914,40.5,44.099,1786,0,0,2,19.395
2025-03-04 10:13:03,50,71,0,1025.563,63.168,35.5,44.141,1567,0,0,3.225,28.38
2025-03-04 10:13:05,60,104,0,1017.192,71.864,52,44.048,2290.5,0,0,1.702,17.721
2025-03-04 10:13:07,67,122,0,1021.639,66.374,61,44.295,2702,0,0,1.828,24.033
2025-03-04 10:13:09,70,133,0,1017.805,57.646,66.5,43.82,2914,0,0,1.549,21.188
2025-03-04 10:13:11,80,143,0,1016.385,67.847,71.5,44.175,3158.5,0,0,1.545,18.916
2025-03-04 10:13:13,87,157,0,1012.65,73.722,78.5,44.446,3489,0,0,1.236,11.025
2025-03-04 10:13:15,90,176,0,1018.29,68.284,88,44.318,3900,0,0,1.375,17.449
2025-03-04 10:13:17,99,182,0,1020.231,64.343,91,44.231,4025,0,0,1.516,17.819
2025-03-04 10:13:19,107,197,0,1006.675,64.693,98.5,44.523,4385.5,0,0,1.477,15.975
2025-03-04 10:13:21,110,209,0,1029.684,70.599,104.5,44.292,4628.5,0,0,1.431,26.211
2025-03-04 10:13:23,119,223,0,1028.834,63.854,111.5,44.363,4946.5,0,0,1.52,21.193
2025-03-04 10:13:25,127,240,0,1017.929,69.262,120,44.254,5310.5,0,0,1.308,23.688
2025-03-04 10:13:27,130,251,0,1034.008,66.137,125.5,44.291,5558.5,0,0,1.546,30.291
2025-03-04 10:13:29,140,260,0,1026.812,67.27,130,44.538,5790,0,0,1.623,27.904
2025-03-04 10:13:31,147,253,0,1026.787,67.842,126.5,44.328,5607.5,0,0,1.407,29.901
2025-03-04 10:13:33,150,295,0,1036.576,85.452,147.5,44.675,6589.5,0,0,1.563,36.339
2025-03-04 10:13:35,160,292,0,1035.103,71.037,146,44.476,6493.5,0,0,1.332,25.723
2025-03-04 10:13:37,167,324,0,1024.068,66.473,162,44.738,7247.5,0,0,1.265,20.873
2025-03-04 10:13:39,170,329,0,1027.052,67.269,164.5,44.59,7335,0,0,1.015,26.307
2025-03-04 10:13:41,180,338,0,1027.26,67.768,169,44.657,7547,0,0,0.991,23.725
2025-03-04 10:13:43,188,351,0,1048.729,71.576,175.5,44.578,7823.5,0,0,1.046,41.444
2025-03-04 10:13:45,190,377,0,1021.751,65.683,188.5,44.653,8417,0,0,0.96,26.39
2025-03-04 10:13:47,200,350,0,1084.06,116.718,175,44.54,7794.5,0,0,1.366,90.034
2025-03-04 10:13:49,207,391,0,1023.225,66.681,195.5,44.737,8746,0,0,0.898,35.092
2025-03-04 10:13:51,210,409,0,1022.738,65.26,204.5,44.778,9157,0,0,0.878,19.756
2025-03-04 10:13:53,220,381,0,1085.685,116.604,190.5,44.593,8495,0,0,1.084,90.976
2025-03-04 10:13:55,227,383,0,1099.159,113.487,191.5,44.687,8557.5,0,0,0.791,97.389
2025-03-04 10:13:57,230,451,0,1105.157,109.075,225.5,44.752,10091.5,0,0,0.905,96.987
2025-03-04 10:13:59,240,406,0,1078.473,89.61,203,44.82,9098.5,0,0,0.877,76.182
2025-03-04 10:14:01,248,449,0,1069.947,98.947,224.5,44.771,10051,0,0,0.833,68.474
2025-03-04 10:14:03,250,477,0,1093.792,90.237,238.5,44.723,10666.5,0,0,0.95,90.706
2025-03-04 10:14:05,260,484,0,1040.481,71.428,242,44.853,10854.5,0,0,0.674,42.568
2025-03-04 10:14:07,267,477,0,1041.195,69.012,238.5,44.78,10680,0,0,0.656,38.646
2025-03-04 10:14:09,270,526,0,1035.65,73.607,263,44.92,11814,0,0,0.823,31.663
2025-03-04 10:14:11,280,535,0,1079.17,93.602,267.5,44.864,12001,0,0,0.667,75.099
2025-03-04 10:14:13,288,516,0,1058.537,77.527,258,44.8,11558.5,0,0,0.866,60.764
2025-03-04 10:14:15,290,491,0,1068.424,83.347,245.5,44.774,10992,0,0,0.739,63.633
2025-03-04 10:14:17,300,553,0,1162.828,121.532,276.5,44.875,12408,0,0,0.646,159.027
2025-03-04 10:14:19,307,554,0,1036.372,73.99,277,44.87,12429,0,0,0.718,38.534
2025-03-04 10:14:21,310,600,0,1044.108,76.128,300,44.928,13478.5,0,0,0.673,43.982
2025-03-04 10:14:23,320,570,0,1079.328,82.979,285,44.898,12796,0,0,0.956,79.263
2025-03-04 10:14:25,327,508,0,1121.156,104.75,254,44.711,11356.5,0,0,0.474,125.443
2025-03-04 10:14:27,330,623,0,1208.844,242.788,311.5,44.878,13979.5,0,0,0.668,207.632
2025-03-04 10:14:29,340,642,0,1029.453,71.357,321,45.002,14445.5,0,0,0.639,28.713
2025-03-04 10:14:31,347,590,0,1166.28,157.888,295,44.917,13250.5,0,0,0.663,164.231
2025-03-04 10:14:33,350,650,0,1062.483,80.894,325,44.912,14596.5,0,0,0.618,62.991
2025-03-04 10:14:35,360,689,0,1032.046,66.917,344.5,45.001,15503,0,0,0.557,28.164
2025-03-04 10:14:37,367,650,0,1094.071,99.15,325,45.046,14640,0,0,0.522,93.578
2025-03-04 10:14:39,370,682,0,1065.968,70.669,341,44.979,15338,0,0,0.487,64.199
2025-03-04 10:14:41,380,667,0,1116.301,83.705,333.5,45.022,15015,0,0,0.637,112.942
2025-03-04 10:14:43,388,688,0,1114.302,85.087,344,45.025,15488.5,0,0,0.468,116.785
2025-03-04 10:14:45,390,663,0,1147.462,100.364,331.5,44.955,14902.5,0,0,0.513,144.288
2025-03-04 10:14:47,400,620,0,1214.819,130.222,310,44.852,13904,0,0,0.503,209.418
2025-03-04 10:14:49,407,657,0,1277.311,164.504,328.5,44.942,14763.5,0,0,0.896,272.504
2025-03-04 10:14:51,410,697,0,1166.532,108.847,348.5,44.902,15648.5,0,0,0.463,161.667
2025-03-04 10:14:53,420,659,0,1249.2,145.797,329.5,45.008,14830,0,0,0.551,244.917
2025-03-04 10:14:55,428,521,0,1335.453,244.225,260.5,44.777,11664.5,0,0,0.758,331.996
2025-03-04 10:14:57,430,667,0,1482.571,360.039,333.5,44.991,15004.5,0,0,0.649,481.036
2025-03-04 10:14:59,440,632,0,1352.443,242.212,316,44.957,14206.5,0,0,0.772,348.244
2025-03-04 10:15:01,447,677,0,1336.657,240.71,338.5,44.936,15211,0,0,0.848,341.634
2025-03-04 10:15:03,450,651,0,1327.521,237.239,325.5,44.931,14625,0,0,0.737,325.734
2025-03-04 10:15:05,460,692,0,1328.776,232.545,346,45,15570,0,0,0.608,326.259
2025-03-04 10:15:07,467,651,0,1388.267,245.712,325.5,44.968,14637,0,0,0.697,387.247
2025-03-04 10:15:09,470,632,0,1461.225,263.184,316,44.943,14202,0,0,0.513,461.723
2025-03-04 10:15:11,480,696,0,1418.014,254.577,348,44.92,15632,0,0,0.504,415.135
2025-03-04 10:15:13,488,583,0,1492.693,329.443,291.5,44.859,13076.5,0,0,0.52,491.614
2025-03-04 10:15:15,490,676,0,1532.08,317.766,338,44.926,15185,0,0,0.553,532.365
2025-03-04 10:15:17,500,641,0,1498.159,304.043,320.5,44.928,14399.5,0,0,0.654,497.153
2025-03-04 10:15:19,507,665,0,1514.767,295.14,332.5,44.923,14937,0,0,0.516,516.205
2025-03-04 10:15:21,510,661,0,1512.094,302.009,330.5,44.953,14857,0,0,0.617,515.531
2025-03-04 10:15:23,520,618,0,1612.377,389.781,309,44.887,13870,0,0,1.317,610.299
2025-03-04 10:15:25,528,660,0,1633.247,374.526,330,44.942,14831,0,0,0.483,634.897
2025-03-04 10:15:27,531,662,0,1558.613,321.977,331,45.023,14902.5,0,0,0.642,560.502
2025-03-04 10:15:29,540,626,0,1641.481,436.195,313,44.895,14052,0,0,0.987,644.307
2025-03-04 10:15:31,548,647,0,1690.934,470.95,323.5,44.884,14520,0,0,0.989,688.388
