DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-04 09:30:36,10,15,0,1113.6,67.861,7.5,42.8,321,0,0,13.4,57.733
2025-03-04 09:30:38,19,29,0,1113.069,95.677,14.5,42.345,614,0,0,6.379,96.241
2025-03-04 09:30:40,27,35,0,1148.314,101.015,17.5,41.686,729.5,0,0,3.571,160.114
2025-03-04 09:30:42,30,42,0,1173.833,128.275,21,42.095,884,0,0,2.548,186.214
2025-03-04 09:30:44,40,51,0,1143.333,115.704,25.5,42.157,1075,0,0,2.373,151.235
2025-03-04 09:30:46,46,71,0,1185.465,133.746,35.5,42.113,1495,0,0,1.817,179.465
2025-03-04 09:30:48,50,73,0,1249.521,136.522,36.5,41.74,1523.5,0,0,1.795,253.288
2025-03-04 09:30:50,59,91,0,1152.923,104.493,45.5,42.132,1917,0,0,1.198,156.154
2025-03-04 09:30:52,66,86,0,1368.616,114.425,43,41.791,1797,0,0,1.07,356.651
2025-03-04 09:30:54,70,83,0,1477.759,179.206,41.5,41.651,1728.5,0,0,1.386,463
2025-03-04 09:30:56,80,91,0,1529.626,190.677,45.5,41.824,1903,0,0,0.868,528.802
2025-03-04 09:30:58,87,90,0,1762.4,227.332,45,41.644,1874,0,0,0.878,753.167
2025-03-04 09:31:00,90,89,0,1778.674,298.634,44.5,41.697,1855.5,0,0,0.753,773.618
2025-03-04 09:31:02,100,94,0,1981.883,368.499,47,41.766,1963,0,0,1.117,979.447
2025-03-04 09:31:04,107,80,0,2211.8,396.499,40,41.55,1662,0,0,1,1198.287
2025-03-04 09:31:06,110,77,0,2474.623,428.299,38.5,41.416,1594.5,0,0,0.922,1474
2025-03-04 09:31:08,119,83,0,2624.506,513.385,41.5,41.639,1728,0,0,1.12,1633.06
2025-03-04 09:31:10,127,85,0,2538.706,569.14,42.5,41.365,1758,0,0,1.529,1522.471
2025-03-04 09:31:12,130,88,0,2748.545,637.047,44,41.5,1826,0,0,0.977,1738.432
2025-03-04 09:31:14,139,84,0,2935.536,704.658,42,41.452,1741,0,0,0.964,1978.19
2025-03-04 09:31:16,147,83,0,3176.928,847.07,41.5,41.494,1722,0,0,1.217,2140.867
2025-03-04 09:31:18,150,87,0,3287,921.757,43.5,41.598,1809.5,0,0,1.184,2280.598
2025-03-04 09:31:20,160,84,0,3398.179,966.305,42,41.595,1747,0,0,0.905,2398.512
