DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-03 14:29:22,10,10,0,1071.4,88.393,5,43,215,0,0,19.7,38.8
2025-03-03 14:29:24,19,22,0,1000.136,67.358,11,43,473,0,0,5.636,10.818
2025-03-03 14:29:26,21,39,0,1014.051,66.968,19.5,43,838.5,0,0,3.333,5.282
2025-03-03 14:29:28,30,49,0,1027.041,64.539,24.5,41,1004.5,0,0,2.571,6.163
2025-03-03 14:29:30,39,60,0,1031.4,69.598,30,41,1230,0,0,3.367,5.767
2025-03-03 14:29:32,44,79,0,1005.899,66.185,39.5,41.025,1620.5,0,0,3.759,5.975
2025-03-03 14:29:34,51,95,0,1010.884,65.35,47.5,42.011,1995.5,0,0,1.832,8.095
2025-03-03 14:29:36,59,102,0,1008.686,61.577,51,42,2142,0,0,2.392,5.176
2025-03-03 14:29:38,64,118,0,1001.585,70.13,59,42.025,2479.5,0,0,1.89,4.449
2025-03-03 14:29:40,70,135,0,1013.296,72.805,67.5,42.993,2902,0,0,1.763,3.756
2025-03-03 14:29:42,78,141,0,993.816,63.855,70.5,43,3031.5,0,0,1.936,3.638
2025-03-03 14:29:44,82,158,0,1007.722,69.177,79,42.981,3395.5,0,0,1.867,4.329
2025-03-03 14:29:46,91,167,0,1010.665,69.135,83.5,42.91,3583,0,0,2.287,8.509
2025-03-03 14:29:48,100,197,0,1008.467,63.562,98.5,43,4235.5,0,0,2.03,4.183
2025-03-03 14:29:50,104,192,0,1003.594,64.432,96,42.953,4123.5,0,0,1.922,4.036
2025-03-03 14:29:52,111,216,0,1022.241,85.273,108,41.171,4446.5,0,0,1.569,19.653
2025-03-03 14:29:54,120,220,0,1012.077,69.749,110,41,4510,0,0,1.968,3.755
2025-03-03 14:29:56,124,230,0,1001.37,66.177,115,41.009,4716,0,0,1.843,4.391
2025-03-03 14:29:58,131,257,0,1038.942,143.699,128.5,42.054,5404,0,0,1.471,42.385
2025-03-03 14:30:00,139,265,0,1000.917,61.99,132.5,42,5565,0,0,1.808,3.543
2025-03-03 14:30:02,145,268,0,1013.082,68.678,134,41.989,5626.5,0,0,1.825,7.515
2025-03-03 14:30:04,151,298,0,1016.903,94.402,149,42.745,6369,0,0,1.43,16.537
2025-03-03 14:30:06,160,319,0,1000.141,70.239,159.5,43,6858.5,0,0,1.533,2.959
2025-03-03 14:30:08,165,292,0,1007.805,72.203,146,42.938,6269,0,0,1.469,5.695
2025-03-03 14:30:10,171,325,0,1103.609,246.683,162.5,42.043,6832,0,0,1.354,98.178
2025-03-03 14:30:12,178,347,0,1007.481,61.104,173.5,42,7287,0,0,1.622,3.432
2025-03-03 14:30:14,185,355,0,1006.428,69.868,177.5,42,7455,0,0,1.552,3.025
2025-03-03 14:30:16,191,317,0,1081.962,229.533,158.5,41.757,6618.5,0,0,1.161,81.937
2025-03-03 14:30:18,200,385,0,1079.408,295.316,192.5,42.769,8233,0,0,1.338,82.21
2025-03-03 14:30:20,205,398,0,1008.472,64.254,199,43,8557,0,0,1.525,2.985
2025-03-03 14:30:22,211,406,0,1010.608,72.764,203,42.897,8708,0,0,1.138,5.584
2025-03-03 14:30:24,219,426,0,1011.197,80.413,213,41.981,8942,0,0,1.357,9.728
