DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-03-03 14:09:49,10,18,0,1043.5,56.514,9,43,387,0,0,10.778,21.778
2025-03-03 14:09:51,19,31,0,1002.677,75.185,15.5,43,666.5,0,0,8.871,11.871
2025-03-03 14:09:53,26,43,0,1009.326,69.322,21.5,42.791,920,0,0,5.884,12.535
2025-03-03 14:09:55,30,58,0,1000.121,67.518,29,42,1218,0,0,3.862,5.655
2025-03-03 14:09:57,39,69,0,1009.058,71.999,34.5,42,1449,0,0,3.406,5.565
2025-03-03 14:09:59,45,53,0,1021.396,70.161,26.5,42,1113,0,0,3.792,6.453
2025-03-03 14:10:01,50,95,0,1048.779,106.755,47.5,41.937,1992,0,0,2.063,34.232
2025-03-03 14:10:03,59,106,0,1005.34,65.835,53,42,2226,0,0,2.368,4.349
2025-03-03 14:10:05,68,121,0,1008.05,64.475,60.5,42,2541,0,0,2.14,4.678
2025-03-03 14:10:07,70,134,0,1012.575,63.98,67,41.09,2753,0,0,2.888,7.052
2025-03-03 14:10:09,80,151,0,1010.384,60.255,75.5,41,3095.5,0,0,2.079,4.033
2025-03-03 14:10:11,86,148,0,1017.736,64.039,74,41,3034,0,0,2.054,3.743
2025-03-03 14:10:13,90,177,0,1018.356,84.198,88.5,42.734,3782,0,0,1.379,18.853
2025-03-03 14:10:15,100,188,0,1002.984,60.915,94,43,4042,0,0,2.138,3.915
2025-03-03 14:10:17,108,194,0,1004.186,64.381,97,43,4171,0,0,2.119,4.082
2025-03-03 14:10:19,110,221,0,1042.652,131.303,110.5,41.511,4587,0,0,1.33,42.706
2025-03-03 14:10:21,120,226,0,1001.575,68.307,113,41,4633,0,0,1.69,3.407
2025-03-03 14:10:23,128,241,0,1004.332,63.837,120.5,41.05,4946.5,0,0,1.676,3.593
2025-03-03 14:10:25,130,256,0,1005.102,60.292,128,42.977,5501,0,0,2.02,4.199
2025-03-03 14:10:27,140,270,0,998.937,65.829,135,43,5805,0,0,1.693,3.278
2025-03-03 14:10:29,148,271,0,1009.804,72.803,135.5,42.978,5823.5,0,0,1.624,4.959
2025-03-03 14:10:31,150,295,0,1017.159,95.408,147.5,42.122,6213,0,0,1.393,15.959
2025-03-03 14:10:33,160,306,0,1005.775,64.515,153,42,6426,0,0,1.412,3.016
