DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 15:45:58,10,19,0,1017.895,50.672,9.5,44,418,0,0,11.579,25.947
2025-02-28 15:46:00,20,28,0,998.714,50.789,14,44,616,0,0,3.821,6.357
2025-02-28 15:46:02,29,41,0,1005.39,73.745,20.5,43.634,894.5,0,0,6.049,10.073
2025-02-28 15:46:04,30,71,0,1009.268,70.779,35.5,43,1526.5,0,0,3.127,4.352
2025-02-28 15:46:06,40,56,0,996.571,71.036,28,43,1204,0,0,1.107,2.018
2025-02-28 15:46:08,49,80,0,1037.8,90.153,40,42.2,1688,0,0,1.637,28.85
2025-02-28 15:46:10,50,98,0,1010.48,63.874,49,43,2107,0,0,2.306,4.735
2025-02-28 15:46:12,60,109,0,1002.697,70.745,54.5,43,2343.5,0,0,1.633,3.147
2025-02-28 15:46:14,69,119,0,1014.563,74.911,59.5,42.588,2534,0,0,1.63,11.479
2025-02-28 15:46:16,70,138,0,995,65.846,69,42,2898,0,0,1.522,2.862
2025-02-28 15:46:18,80,149,0,1001.497,73.69,74.5,42,3129,0,0,1.913,3.966
2025-02-28 15:46:20,89,162,0,1014.932,72.557,81,42.198,3418,0,0,1.877,13.278
2025-02-28 15:46:22,90,176,0,998.949,69.203,88,43,3784,0,0,2.176,4.011
2025-02-28 15:46:24,100,189,0,1010.169,62.836,94.5,43,4063.5,0,0,2.127,4.476
2025-02-28 15:46:26,109,198,0,1004.753,67.029,99,43.192,4276,0,0,1.253,6.768
2025-02-28 15:46:28,110,220,0,1003.636,67.712,110,44,4840,0,0,1.282,2.223
2025-02-28 15:46:30,120,235,0,1003.489,63.434,117.5,44,5170,0,0,1.579,3.196
2025-02-28 15:46:32,129,241,0,1024.846,96.494,120.5,43.382,5227.5,0,0,0.992,23.282
2025-02-28 15:46:34,130,258,0,1004.671,63.19,129,42,5418,0,0,1.329,2.57
2025-02-28 15:46:36,140,267,0,999.745,66.896,133.5,42,5607,0,0,0.94,1.618
2025-02-28 15:46:38,149,275,0,1009.549,67.729,137.5,42.265,5811.5,0,0,1.073,6.691
2025-02-28 15:46:40,150,296,0,1003.071,67.221,148,43,6364,0,0,1.193,2.314
2025-02-28 15:46:42,160,307,0,1003.632,67.711,153.5,43,6600.5,0,0,1.147,2.062
2025-02-28 15:46:44,169,320,0,1010.656,76.971,160,42.619,6819,0,0,0.781,7.084
2025-02-28 15:46:46,170,341,0,1003.519,64.444,170.5,42,7161,0,0,1.158,2.179
2025-02-28 15:46:48,180,348,0,1007.997,65.398,174,42,7308,0,0,1.014,1.816
2025-02-28 15:46:50,189,363,0,1030.521,113.257,181.5,42.193,7658,0,0,0.953,28.006
2025-02-28 15:46:52,190,377,0,1000.602,68.015,188.5,44,8294,0,0,1.122,2.175
2025-02-28 15:46:54,200,388,0,1003.142,66.787,194,44,8536,0,0,1.036,1.835
2025-02-28 15:46:56,210,397,0,1006.388,62.416,198.5,41.985,8334,0,0,0.955,2.063
2025-02-28 15:46:58,210,421,0,1001.444,67.163,210.5,39,8209.5,0,0,0.945,1.705
2025-02-28 15:47:00,220,429,0,1003.625,63.631,214.5,39,8365.5,0,0,0.844,1.434
2025-02-28 15:47:02,229,430,0,1032.572,134.274,215,40.321,8669,0,0,0.847,32.1
2025-02-28 15:47:04,230,451,0,1015.322,97.389,225.5,42.038,9479.5,0,0,0.847,8.942
2025-02-28 15:47:06,240,473,0,1000.29,65.81,236.5,42,9933,0,0,0.841,1.495
2025-02-28 15:47:08,249,477,0,1007.61,77.599,238.5,42.136,10049.5,0,0,0.824,7.187
2025-02-28 15:47:10,250,501,0,1005.619,65.891,250.5,42,10521,0,0,0.914,1.76
2025-02-28 15:47:12,260,503,0,999.883,66.945,251.5,42,10563,0,0,0.881,1.73
2025-02-28 15:47:14,269,516,0,1022.723,113.286,258,42.128,10869,0,0,0.729,22.946
2025-02-28 15:47:16,270,536,0,1003.813,80.976,268,42.996,11523,0,0,0.78,4.871
2025-02-28 15:47:18,280,549,0,1001.725,66.703,274.5,43,11803.5,0,0,0.78,1.412
2025-02-28 15:47:20,289,541,0,1024.591,123.444,270.5,42.649,11536.5,0,0,0.811,25.813
2025-02-28 15:47:22,290,576,0,1027.92,169.454,288,41.217,11870.5,0,0,0.842,30.009
2025-02-28 15:47:24,300,582,0,1004.842,66.891,291,41,11931,0,0,0.828,1.603
2025-02-28 15:47:26,309,601,0,1002.99,64.895,300.5,41,12320.5,0,0,1.12,1.862
2025-02-28 15:47:28,311,616,0,1025.523,124.934,308,42.443,13072.5,0,0,0.786,24.429
2025-02-28 15:47:30,320,631,0,1001.483,64.726,315.5,43,13566.5,0,0,0.842,1.475
2025-02-28 15:47:32,330,635,0,1001.315,64.656,317.5,42.998,13652,0,0,0.606,1.047
2025-02-28 15:47:34,332,679,0,1018.891,100.291,339.5,42.786,14526,0,0,0.695,16.468
2025-02-28 15:47:36,340,680,0,1007.065,65.301,340,43,14620,0,0,1.176,1.871
2025-02-28 15:47:38,349,666,0,1001.997,67.405,333,42.997,14318,0,0,0.716,1.266
2025-02-28 15:47:40,352,703,0,1012.559,87.851,351.5,43.578,15317.5,0,0,0.67,11.417
2025-02-28 15:47:42,360,713,0,1003.32,66.971,356.5,44,15686,0,0,0.942,1.603
2025-02-28 15:47:44,369,699,0,1004.021,63.126,349.5,44,15378,0,0,0.817,1.609
2025-02-28 15:47:46,372,716,0,1069.117,241.268,358,42.714,15291.5,0,0,0.746,67.792
2025-02-28 15:47:48,380,745,0,1001.903,63.74,372.5,43,16017.5,0,0,0.828,1.424
2025-02-28 15:47:50,389,762,0,1001.441,66.204,381,43,16383,0,0,0.654,1.248
2025-02-28 15:47:52,392,769,0,1016.036,95.778,384.5,42.8,16456.5,0,0,0.723,13.375
2025-02-28 15:47:54,400,795,0,999.356,64.997,397.5,42,16695,0,0,0.747,1.308
2025-02-28 15:47:56,409,821,0,1001.951,64.8,410.5,42,17241,0,0,0.715,1.171
2025-02-28 15:47:58,413,802,0,1024.348,122.279,401,42.297,16961,0,0,0.858,22.463
2025-02-28 15:48:00,420,829,0,1005.606,75.305,414.5,42.001,17409.5,0,0,1.345,3.953
2025-02-28 15:48:02,430,837,0,1003.319,64.345,418.5,42,17577,0,0,0.703,1.288
2025-02-28 15:48:04,433,858,0,1001.958,66.554,429,42.487,18227,0,0,0.71,2.276
2025-02-28 15:48:06,440,879,0,1004.846,65.304,439.5,43,18898.5,0,0,0.802,1.549
2025-02-28 15:48:08,449,880,0,1002.21,67.527,440,43,18920,0,0,1.3,4.638
2025-02-28 15:48:10,453,872,0,1029.163,143.942,436,42.58,18565,0,0,0.695,27.505
2025-02-28 15:48:12,460,913,0,999.791,85.56,456.5,41.967,19158,0,0,0.777,5.217
2025-02-28 15:48:14,470,916,0,999.656,66.184,458,42,19236,0,0,1.227,2.417
2025-02-28 15:48:16,473,924,0,1003.797,67.306,462,42,19404,0,0,1.022,2.035
2025-02-28 15:48:18,480,952,0,1022.211,136.461,476,43.184,20555.5,0,0,0.619,24.405
2025-02-28 15:48:20,489,964,0,1003.005,67.722,482,44,21208,0,0,1.968,3.174
2025-02-28 15:48:22,493,950,0,999.4,65.75,475,43.998,20899,0,0,0.697,1.235
2025-02-28 15:48:24,500,958,0,1071.079,269.954,479,41.73,19988.5,0,0,0.878,69.786
2025-02-28 15:48:26,509,1006,0,999.634,67.584,503,41,20623,0,0,0.67,1.157
2025-02-28 15:48:28,513,1012,0,1003.066,66.685,506,41,20746,0,0,0.82,1.487
2025-02-28 15:48:30,520,893,0,1027.786,145.868,446.5,41.72,18628,0,0,1.347,27.566
2025-02-28 15:48:32,529,977,0,1185.466,589.761,488.5,42.053,20543,0,0,0.513,185.232
2025-02-28 15:48:34,533,1057,0,1018.553,218.519,528.5,42.023,22209,0,0,0.708,17.116
2025-02-28 15:48:36,540,1078,0,1000.33,68.119,539,42,22638,0,0,0.749,1.471
2025-02-28 15:48:38,550,1052,0,1001.849,64.403,526,42,22092,0,0,1.029,1.883
2025-02-28 15:48:40,553,1100,0,1015.812,116.716,550,42.455,23350,0,0,0.678,17.882
2025-02-28 15:48:42,560,1117,0,999.217,64.532,558.5,43,24015.5,0,0,0.797,1.631
2025-02-28 15:48:44,569,1095,0,1006.091,66.323,547.5,42.998,23541.5,0,0,1.632,2.588
2025-02-28 15:48:46,573,1138,0,1013.822,93.447,569,42.099,23954.5,0,0,1.589,12.467
2025-02-28 15:48:48,580,1150,0,1002.625,65.39,575,42,24150,0,0,1.042,2.103
2025-02-28 15:48:50,589,1155,0,997.699,65.435,577.5,42.007,24259,0,0,0.72,1.315
2025-02-28 15:48:52,594,1175,0,1009.648,78.27,587.5,42.045,24701.5,0,0,1.007,7.242
2025-02-28 15:48:54,600,1184,0,1002.056,62.255,592,42,24864,0,0,0.528,1.023
2025-02-28 15:48:56,609,1190,0,1004.746,66.078,595,42.003,24992,0,0,0.803,1.96
2025-02-28 15:48:58,614,1209,0,1023.794,129.622,604.5,42.184,25500,0,0,0.888,20.775
2025-02-28 15:49:00,620,1235,0,1000.826,64.546,617.5,42,25935,0,0,0.555,1.214
2025-02-28 15:49:02,629,1173,0,1005.866,65.946,586.5,42,24633,0,0,0.772,1.251
2025-02-28 15:49:04,634,1088,0,1087.123,323.439,544,42.486,23112.5,0,0,0.364,84.789
2025-02-28 15:49:06,640,1263,0,1131.2,566.322,631.5,41.559,26244.5,0,0,1.736,131.499
2025-02-28 15:49:08,649,1274,0,1003.851,67.145,637,41,26117,0,0,1.305,2.465
2025-02-28 15:49:10,654,1300,0,1002.008,67.34,650,41,26650,0,0,0.592,1.055
2025-02-28 15:49:12,660,1286,0,1020.513,117.508,643,41.234,26513.5,0,0,1.233,18.1
2025-02-28 15:49:14,669,1324,0,1007.248,77.342,662,39.029,25837,0,0,1.026,3.934
2025-02-28 15:49:16,674,1333,0,1001.473,65.714,666.5,39,25993.5,0,0,1.236,2.481
2025-02-28 15:49:18,680,1247,0,1023.193,126.027,623.5,40.837,25462,0,0,1.122,20.206
2025-02-28 15:49:20,689,1401,0,1063.612,316.882,700.5,42.112,29499.5,0,0,1.185,63.813
2025-02-28 15:49:22,696,1381,0,1003.203,67.165,690.5,42,29001,0,0,1.631,3.165
2025-02-28 15:49:24,700,1408,0,998.043,65.545,704,42,29568,0,0,0.496,1.045
2025-02-28 15:49:26,710,1284,0,1026.588,150.195,642,42.073,27011,0,0,2.802,27.042
2025-02-28 15:49:28,716,1400,0,1069.413,338.22,700,42.003,29402,0,0,1.679,66.926
2025-02-28 15:49:30,720,1439,0,1004.486,64.408,719.5,42,30219,0,0,2.334,3.812
2025-02-28 15:49:32,729,1438,0,1004.005,64.738,719,42,30198,0,0,1.595,2.583
2025-02-28 15:49:34,736,1351,0,1026.789,131.691,675.5,42.113,28447,0,0,2.882,23.757
2025-02-28 15:49:36,740,1462,0,1059.789,301.19,731,41.722,30499,0,0,0.853,54.634
2025-02-28 15:49:38,750,1529,0,998.56,65.634,764.5,41,31344.5,0,0,0.899,1.689
2025-02-28 15:49:40,757,1493,0,1005.04,67.287,746.5,41,30606.5,0,0,2.527,4.995
2025-02-28 15:49:42,760,1195,0,1025.231,140.108,597.5,41.785,24966.5,0,0,1.055,22.925
2025-02-28 15:49:44,770,1318,0,1143.726,542.511,659,42.151,27777.5,0,0,1.352,144.715
2025-02-28 15:49:46,776,1521,0,1213.388,906.841,760.5,41.956,31907.5,0,0,1.475,213.465
2025-02-28 15:49:48,780,1546,0,1001.583,65.717,773,37,28601,0,0,0.701,1.425
2025-02-28 15:49:50,790,1580,0,1009.943,74.071,790,37,29230,0,0,1.635,9.459
2025-02-28 15:49:52,797,1416,0,1008.646,66.81,708,37.093,26262,0,0,2.903,4.635
2025-02-28 15:49:54,800,1335,0,1079.936,327.711,667.5,41.905,27971.5,0,0,2.066,77.504
2025-02-28 15:49:56,810,1529,0,1181.345,735.428,764.5,42.233,32287.5,0,0,1.019,182.649
2025-02-28 15:49:58,816,1627,0,1057.948,476.824,813.5,42.865,34871,0,0,2.427,57.981
2025-02-28 15:50:00,820,1622,0,1002.788,66.187,811,43,34873,0,0,1.47,2.601
2025-02-28 15:50:02,830,1594,0,1005.361,70.28,797,42.965,34243.5,0,0,3.289,5.715
2025-02-28 15:50:04,836,1633,0,1049.087,251.994,816.5,42.07,34350.5,0,0,1.289,48.767
2025-02-28 15:50:06,840,1663,0,1003.636,67.366,831.5,43,35754.5,0,0,0.911,1.653
