Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740981053,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,1.13%,"9.602MiB / 40MiB",24.00%,"62.5kB / 52.7kB","0B / 0B",12
1740981053,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.24%,"64.23MiB / 7.637GiB",0.82%,"4.16kB / 3.6kB","0B / 0B",30
1740981053,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.35%,"63.64MiB / 7.637GiB",0.81%,"3.4kB / 1.43kB","0B / 0B",16
1740981065,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,3.33%,"9.848MiB / 40MiB",24.62%,"384kB / 329kB","0B / 0B",12
1740981065,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.19%,"64.39MiB / 7.637GiB",0.82%,"9.52kB / 10.4kB","0B / 0B",30
1740981065,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.36%,"64.33MiB / 7.637GiB",0.82%,"7.04kB / 3.94kB","0B / 0B",18
1740981077,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,2.65%,"9.773MiB / 40MiB",24.43%,"976kB / 838kB","0B / 0B",12
1740981077,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.19%,"63.93MiB / 7.637GiB",0.82%,"15.7kB / 17.8kB","0B / 0B",30
1740981077,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.32%,"62.53MiB / 7.637GiB",0.80%,"11.2kB / 7.31kB","0B / 0B",17
1740981089,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,6.39%,"10.25MiB / 40MiB",25.62%,"1.84MB / 1.58MB","0B / 0B",12
1740981089,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.19%,"63.86MiB / 7.637GiB",0.82%,"27.3kB / 32.6kB","0B / 0B",30
1740981089,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.27%,"66.85MiB / 7.637GiB",0.85%,"19.2kB / 12.6kB","0B / 0B",21
1740981102,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,3.82%,"10.38MiB / 40MiB",25.94%,"2.98MB / 2.56MB","0B / 0B",12
1740981102,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.18%,"64.05MiB / 7.637GiB",0.82%,"36.4kB / 43.5kB","0B / 0B",30
1740981102,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.24%,"65.15MiB / 7.637GiB",0.83%,"25.2kB / 17.4kB","0B / 0B",18
1740981113,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,6.43%,"11.17MiB / 40MiB",27.92%,"4.39MB / 3.77MB","0B / 0B",12
1740981113,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.18%,"63.68MiB / 7.637GiB",0.81%,"58.4kB / 71.9kB","0B / 0B",30
1740981113,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.29%,"66.19MiB / 7.637GiB",0.85%,"40.9kB / 28kB","0B / 0B",27
1740981125,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,7.80%,"11.09MiB / 40MiB",27.71%,"6.08MB / 5.22MB","0B / 0B",12
1740981125,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.38%,"63.71MiB / 7.637GiB",0.81%,"66.7kB / 81.8kB","0B / 0B",30
1740981125,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.25%,"63.71MiB / 7.637GiB",0.81%,"46.5kB / 32.5kB","0B / 0B",19
1740981137,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,6.87%,"11.27MiB / 40MiB",28.17%,"8.04MB / 6.91MB","0B / 0B",12
1740981137,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.19%,"63.75MiB / 7.637GiB",0.82%,"80.7kB / 99.9kB","0B / 0B",30
1740981137,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.35%,"65.83MiB / 7.637GiB",0.84%,"56.7kB / 39.3kB","0B / 0B",21
1740981149,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,7.48%,"11.47MiB / 40MiB",28.68%,"10.3MB / 8.82MB","0B / 0B",12
1740981149,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.15%,"63.74MiB / 7.637GiB",0.82%,"90.6kB / 112kB","0B / 0B",30
1740981149,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.24%,"66.21MiB / 7.637GiB",0.85%,"63.7kB / 44.4kB","0B / 0B",22
1740981162,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,18.74%,"11.35MiB / 40MiB",28.37%,"12.8MB / 11MB","0B / 0B",12
1740981162,5edfd94e1e8e,reverse-proxy-lb-1,5edfd94e1e8e,0.16%,"63.42MiB / 7.637GiB",0.81%,"98.9kB / 123kB","0B / 0B",30
1740981162,875ac7770d67,reverse-proxy-api-1,875ac7770d67,0.24%,"68.14MiB / 7.637GiB",0.87%,"69.8kB / 48.4kB","0B / 0B",20
1740981173,74f6a7c5ca27,reverse-proxy-cache-1,74f6a7c5ca27,9.22%,"11.53MiB / 40MiB",28.82%,"15.6MB / 13.4MB","0B / 0B",12
