Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741048230,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,1.00%,"68.94MiB / 7.637GiB",0.88%,"7.51kB / 7.14kB","0B / 0B",29
1741048230,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,0.28%,"63.18MiB / 7.637GiB",0.81%,"2.27kB / 548B","0B / 0B",15
1741048245,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,2.73%,"70.93MiB / 7.637GiB",0.91%,"233kB / 266kB","0B / 0B",29
1741048245,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,73.64%,"78.62MiB / 7.637GiB",1.01%,"162kB / 100kB","0B / 0B",25
1741048257,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,1.42%,"72.21MiB / 7.637GiB",0.92%,"725kB / 839kB","0B / 0B",29
1741048257,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,97.00%,"87.04MiB / 7.637GiB",1.11%,"516kB / 327kB","0B / 0B",31
1741048269,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,5.97%,"73.64MiB / 7.637GiB",0.94%,"1.22MB / 1.42MB","0B / 0B",29
1741048269,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,96.86%,"82.48MiB / 7.637GiB",1.05%,"882kB / 556kB","0B / 0B",37
1741048281,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,2.70%,"74.28MiB / 7.637GiB",0.95%,"1.7MB / 1.99MB","0B / 0B",29
1741048281,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,95.00%,"83.95MiB / 7.637GiB",1.07%,"1.24MB / 780kB","0B / 0B",39
1741048293,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,2.37%,"75.99MiB / 7.637GiB",0.97%,"2.19MB / 2.56MB","0B / 0B",29
1741048293,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,101.23%,"95.3MiB / 7.637GiB",1.22%,"1.6MB / 1.01MB","0B / 0B",45
1741048305,78d8c0863b02,reverse-proxy-lb-1,78d8c0863b02,1.65%,"76.5MiB / 7.637GiB",0.98%,"2.67MB / 3.11MB","0B / 0B",29
1741048305,2920136c1f5e,reverse-proxy-api-1,2920136c1f5e,101.36%,"94.22MiB / 7.637GiB",1.20%,"1.95MB / 1.24MB","0B / 0B",35
