Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740978592,b02b44b70a1b,reverse-proxy-cache-1,b02b44b70a1b,2.36%,"9.422MiB / 40MiB",23.55%,"156kB / 133kB","0B / 0B",12
1740978592,00c97a35920f,reverse-proxy-lb-1,00c97a35920f,0.22%,"68.83MiB / 7.637GiB",0.88%,"4.4kB / 3.67kB","0B / 0B",31
1740978592,5bdfead95a27,reverse-proxy-api-1,5bdfead95a27,0.37%,"55.48MiB / 7.637GiB",0.71%,"3.47kB / 1.56kB","0B / 0B",16
1740978609,b02b44b70a1b,reverse-proxy-cache-1,b02b44b70a1b,3.01%,"9.992MiB / 40MiB",24.98%,"587kB / 501kB","0B / 0B",12
1740978609,00c97a35920f,reverse-proxy-lb-1,00c97a35920f,0.48%,"69.28MiB / 7.637GiB",0.89%,"25.9kB / 31.1kB","0B / 0B",31
1740978609,5bdfead95a27,reverse-proxy-api-1,5bdfead95a27,23.10%,"59.69MiB / 7.637GiB",0.76%,"20.4kB / 11.2kB","0B / 0B",18
1740978621,b02b44b70a1b,reverse-proxy-cache-1,b02b44b70a1b,5.32%,"10.16MiB / 40MiB",25.39%,"1.3MB / 1.11MB","0B / 0B",12
1740978621,00c97a35920f,reverse-proxy-lb-1,00c97a35920f,0.46%,"69.3MiB / 7.637GiB",0.89%,"56.6kB / 70.7kB","0B / 0B",31
1740978621,5bdfead95a27,reverse-proxy-api-1,5bdfead95a27,7.81%,"59.2MiB / 7.637GiB",0.76%,"41.4kB / 27.5kB","0B / 0B",20
1740978634,b02b44b70a1b,reverse-proxy-cache-1,b02b44b70a1b,8.87%,"10.37MiB / 40MiB",25.93%,"2.29MB / 1.96MB","0B / 0B",12
1740978634,00c97a35920f,reverse-proxy-lb-1,00c97a35920f,0.26%,"69.34MiB / 7.637GiB",0.89%,"76.5kB / 96.3kB","0B / 0B",32
1740978634,5bdfead95a27,reverse-proxy-api-1,5bdfead95a27,13.99%,"59.59MiB / 7.637GiB",0.76%,"55.9kB / 37.4kB","0B / 0B",20
1740978646,b02b44b70a1b,reverse-proxy-cache-1,b02b44b70a1b,5.91%,"11.01MiB / 40MiB",27.53%,"3.55MB / 3.04MB","0B / 0B",12
1740978646,00c97a35920f,reverse-proxy-lb-1,00c97a35920f,0.92%,"69.95MiB / 7.637GiB",0.89%,"135kB / 173kB","0B / 0B",32
1740978646,5bdfead95a27,reverse-proxy-api-1,5bdfead95a27,86.09%,"66.66MiB / 7.637GiB",0.85%,"101kB / 65.3kB","0B / 0B",22
1740978658,b02b44b70a1b,reverse-proxy-cache-1,b02b44b70a1b,4.91%,"11.5MiB / 40MiB",28.76%,"5.07MB / 4.34MB","0B / 0B",12
