Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740731474,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,3.11%,"10.32MiB / 20MiB",51.62%,"687MB / 588MB","0B / 0B",12
1740731474,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,2.59%,"36.4MiB / 7.637GiB",0.47%,"14.4MB / 18.9MB","0B / 0B",37
1740731474,539c889625b4,reverse-proxy-api-1,539c889625b4,16.52%,"135.9MiB / 7.637GiB",1.74%,"10.8MB / 7.04MB","0B / 0B",20
1740731486,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,5.60%,"10.12MiB / 20MiB",50.61%,"687MB / 589MB","0B / 0B",12
1740731486,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.18%,"35.98MiB / 7.637GiB",0.46%,"14.4MB / 18.9MB","0B / 0B",37
1740731486,539c889625b4,reverse-proxy-api-1,539c889625b4,0.34%,"134.8MiB / 7.637GiB",1.72%,"10.8MB / 7.05MB","0B / 0B",19
1740731499,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,3.40%,"10.09MiB / 20MiB",50.47%,"688MB / 589MB","0B / 0B",12
1740731499,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,1.25%,"35.82MiB / 7.637GiB",0.46%,"14.4MB / 19MB","0B / 0B",37
1740731499,539c889625b4,reverse-proxy-api-1,539c889625b4,66.71%,"141.9MiB / 7.637GiB",1.81%,"10.9MB / 7.08MB","0B / 0B",25
1740731511,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.20%,"10.05MiB / 20MiB",50.27%,"689MB / 590MB","0B / 0B",12
1740731511,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.64%,"35.43MiB / 7.637GiB",0.45%,"14.5MB / 19MB","0B / 0B",37
1740731511,539c889625b4,reverse-proxy-api-1,539c889625b4,30.51%,"141.6MiB / 7.637GiB",1.81%,"10.9MB / 7.09MB","0B / 0B",20
1740731523,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,5.99%,"10.08MiB / 20MiB",50.39%,"690MB / 591MB","0B / 0B",12
1740731523,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.47%,"35.43MiB / 7.637GiB",0.45%,"14.5MB / 19.1MB","0B / 0B",37
1740731523,539c889625b4,reverse-proxy-api-1,539c889625b4,24.44%,"141.7MiB / 7.637GiB",1.81%,"10.9MB / 7.11MB","0B / 0B",21
1740731535,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.79%,"10.2MiB / 20MiB",51.02%,"692MB / 593MB","0B / 0B",12
1740731535,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.24%,"35.16MiB / 7.637GiB",0.45%,"14.5MB / 19.1MB","0B / 0B",37
1740731535,539c889625b4,reverse-proxy-api-1,539c889625b4,5.69%,"142.6MiB / 7.637GiB",1.82%,"10.9MB / 7.12MB","0B / 0B",21
1740731547,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.22%,"10.09MiB / 20MiB",50.47%,"694MB / 594MB","0B / 0B",12
1740731547,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.25%,"35.21MiB / 7.637GiB",0.45%,"14.7MB / 19.3MB","0B / 0B",37
1740731547,539c889625b4,reverse-proxy-api-1,539c889625b4,0.25%,"139.6MiB / 7.637GiB",1.79%,"11MB / 7.19MB","0B / 0B",25
1740731560,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.78%,"10.18MiB / 20MiB",50.90%,"696MB / 596MB","0B / 0B",12
1740731560,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.16%,"34.96MiB / 7.637GiB",0.45%,"14.7MB / 19.4MB","0B / 0B",37
1740731560,539c889625b4,reverse-proxy-api-1,539c889625b4,0.17%,"144.6MiB / 7.637GiB",1.85%,"11.1MB / 7.23MB","0B / 0B",25
1740731572,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,5.50%,"9.914MiB / 20MiB",49.57%,"698MB / 598MB","0B / 0B",12
1740731572,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.12%,"34.13MiB / 7.637GiB",0.44%,"14.8MB / 19.5MB","0B / 0B",37
1740731572,539c889625b4,reverse-proxy-api-1,539c889625b4,0.22%,"143.9MiB / 7.637GiB",1.84%,"11.1MB / 7.27MB","0B / 0B",22
1740731584,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,6.32%,"9.852MiB / 20MiB",49.26%,"701MB / 600MB","0B / 0B",12
1740731584,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.21%,"33.89MiB / 7.637GiB",0.43%,"14.9MB / 19.6MB","0B / 0B",37
1740731584,539c889625b4,reverse-proxy-api-1,539c889625b4,0.27%,"143.1MiB / 7.637GiB",1.83%,"11.2MB / 7.3MB","0B / 0B",20
1740731596,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,7.09%,"9.836MiB / 20MiB",49.18%,"704MB / 603MB","0B / 0B",12
1740731596,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.13%,"33.69MiB / 7.637GiB",0.43%,"14.9MB / 19.6MB","0B / 0B",37
1740731596,539c889625b4,reverse-proxy-api-1,539c889625b4,0.23%,"142.3MiB / 7.637GiB",1.82%,"11.2MB / 7.32MB","0B / 0B",21
1740731608,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,6.38%,"9.758MiB / 20MiB",48.79%,"707MB / 605MB","0B / 0B",12
1740731608,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.10%,"33.55MiB / 7.637GiB",0.43%,"15MB / 19.7MB","0B / 0B",37
1740731608,539c889625b4,reverse-proxy-api-1,539c889625b4,0.18%,"141.3MiB / 7.637GiB",1.81%,"11.3MB / 7.35MB","0B / 0B",21
1740731620,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,29.29%,"9.871MiB / 20MiB",49.36%,"710MB / 608MB","0B / 0B",12
1740731620,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.15%,"33.53MiB / 7.637GiB",0.43%,"15.1MB / 19.9MB","0B / 0B",37
1740731620,539c889625b4,reverse-proxy-api-1,539c889625b4,0.22%,"142.3MiB / 7.637GiB",1.82%,"11.4MB / 7.41MB","0B / 0B",24
1740731633,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,16.53%,"9.699MiB / 20MiB",48.50%,"714MB / 611MB","0B / 0B",12
1740731633,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.27%,"33.38MiB / 7.637GiB",0.43%,"15.2MB / 20MB","0B / 0B",37
1740731633,539c889625b4,reverse-proxy-api-1,539c889625b4,0.38%,"142MiB / 7.637GiB",1.82%,"11.4MB / 7.45MB","0B / 0B",24
1740731645,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,10.40%,"9.648MiB / 20MiB",48.24%,"718MB / 615MB","0B / 0B",12
1740731645,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.12%,"33.12MiB / 7.637GiB",0.42%,"15.3MB / 20.1MB","0B / 0B",37
1740731645,539c889625b4,reverse-proxy-api-1,539c889625b4,0.15%,"141.1MiB / 7.637GiB",1.80%,"11.5MB / 7.5MB","0B / 0B",22
1740731657,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,5.55%,"9.48MiB / 20MiB",47.40%,"722MB / 618MB","0B / 0B",12
1740731657,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,1.21%,"32.85MiB / 7.637GiB",0.42%,"15.5MB / 20.3MB","0B / 0B",37
1740731657,539c889625b4,reverse-proxy-api-1,539c889625b4,91.51%,"140.2MiB / 7.637GiB",1.79%,"11.6MB / 7.58MB","0B / 0B",28
1740731669,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.457MiB / 20MiB",47.29%,"723MB / 619MB","0B / 0B",12
1740731669,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.21%,"32.8MiB / 7.637GiB",0.42%,"15.5MB / 20.3MB","0B / 0B",37
1740731669,539c889625b4,reverse-proxy-api-1,539c889625b4,0.35%,"140.2MiB / 7.637GiB",1.79%,"11.6MB / 7.58MB","0B / 0B",28
1740731681,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.457MiB / 20MiB",47.29%,"723MB / 619MB","0B / 0B",12
1740731681,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.15%,"32.86MiB / 7.637GiB",0.42%,"15.5MB / 20.3MB","0B / 0B",37
1740731681,539c889625b4,reverse-proxy-api-1,539c889625b4,0.16%,"140.2MiB / 7.637GiB",1.79%,"11.6MB / 7.58MB","0B / 0B",28
1740731693,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.457MiB / 20MiB",47.29%,"723MB / 619MB","0B / 0B",12
1740731693,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.60%,"32.89MiB / 7.637GiB",0.42%,"15.5MB / 20.3MB","0B / 0B",37
1740731693,539c889625b4,reverse-proxy-api-1,539c889625b4,0.36%,"140.2MiB / 7.637GiB",1.79%,"11.6MB / 7.58MB","0B / 0B",28
1740731706,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.457MiB / 20MiB",47.29%,"723MB / 619MB","0B / 0B",12
1740731706,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.24%,"33.42MiB / 7.637GiB",0.43%,"15.5MB / 20.3MB","0B / 0B",37
1740731706,539c889625b4,reverse-proxy-api-1,539c889625b4,0.27%,"140.2MiB / 7.637GiB",1.79%,"11.6MB / 7.58MB","0B / 0B",28
1740731718,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.457MiB / 20MiB",47.29%,"723MB / 619MB","0B / 0B",12
1740731718,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.22%,"33.46MiB / 7.637GiB",0.43%,"15.5MB / 20.3MB","0B / 0B",37
1740731718,539c889625b4,reverse-proxy-api-1,539c889625b4,0.35%,"140.2MiB / 7.637GiB",1.79%,"11.6MB / 7.58MB","0B / 0B",28
1740731730,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,0.00%,"9.457MiB / 20MiB",47.29%,"723MB / 619MB","0B / 0B",12
1740731730,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.26%,"33.47MiB / 7.637GiB",0.43%,"15.5MB / 20.3MB","0B / 0B",37
1740731730,539c889625b4,reverse-proxy-api-1,539c889625b4,0.38%,"140.2MiB / 7.637GiB",1.79%,"11.6MB / 7.58MB","0B / 0B",28
