Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740725157,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,1.54%,"11.89MiB / 20MiB",59.45%,"241MB / 207MB","0B / 0B",12
1740725157,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.22%,"56.15MiB / 7.637GiB",0.72%,"4.36MB / 5.72MB","0B / 0B",37
1740725157,539c889625b4,reverse-proxy-api-1,539c889625b4,0.29%,"103.8MiB / 7.637GiB",1.33%,"3.26MB / 2.14MB","0B / 0B",15
1740725170,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,3.22%,"11.9MiB / 20MiB",59.49%,"241MB / 207MB","0B / 0B",12
1740725170,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.18%,"56.17MiB / 7.637GiB",0.72%,"4.37MB / 5.73MB","0B / 0B",37
1740725170,539c889625b4,reverse-proxy-api-1,539c889625b4,0.33%,"103.8MiB / 7.637GiB",1.33%,"3.27MB / 2.14MB","0B / 0B",19
1740725182,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,3.98%,"11.91MiB / 20MiB",59.57%,"242MB / 207MB","0B / 0B",12
1740725182,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.18%,"56.16MiB / 7.637GiB",0.72%,"4.39MB / 5.75MB","0B / 0B",37
1740725182,539c889625b4,reverse-proxy-api-1,539c889625b4,0.39%,"105.6MiB / 7.637GiB",1.35%,"3.28MB / 2.15MB","0B / 0B",19
1740725194,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,2.70%,"11.91MiB / 20MiB",59.55%,"243MB / 208MB","0B / 0B",12
1740725194,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.30%,"56.16MiB / 7.637GiB",0.72%,"4.41MB / 5.79MB","0B / 0B",37
1740725194,539c889625b4,reverse-proxy-api-1,539c889625b4,0.42%,"105.7MiB / 7.637GiB",1.35%,"3.3MB / 2.16MB","0B / 0B",20
1740725207,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.60%,"11.64MiB / 20MiB",58.18%,"244MB / 209MB","0B / 0B",12
1740725207,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.19%,"56.16MiB / 7.637GiB",0.72%,"4.43MB / 5.81MB","0B / 0B",37
1740725207,539c889625b4,reverse-proxy-api-1,539c889625b4,0.32%,"105.7MiB / 7.637GiB",1.35%,"3.32MB / 2.17MB","0B / 0B",20
1740725219,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.52%,"11.68MiB / 20MiB",58.42%,"245MB / 210MB","0B / 0B",12
1740725219,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.88%,"56.31MiB / 7.637GiB",0.72%,"4.47MB / 5.86MB","0B / 0B",37
1740725219,539c889625b4,reverse-proxy-api-1,539c889625b4,2.80%,"106MiB / 7.637GiB",1.36%,"3.35MB / 2.19MB","0B / 0B",16
1740725231,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,6.04%,"11.8MiB / 20MiB",59.02%,"247MB / 212MB","0B / 0B",12
1740725231,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,1.66%,"56.32MiB / 7.637GiB",0.72%,"4.52MB / 5.93MB","0B / 0B",37
1740725231,539c889625b4,reverse-proxy-api-1,539c889625b4,19.17%,"108.7MiB / 7.637GiB",1.39%,"3.39MB / 2.22MB","0B / 0B",22
1740725243,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,4.67%,"11.59MiB / 20MiB",57.97%,"249MB / 213MB","0B / 0B",12
1740725243,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.14%,"56.2MiB / 7.637GiB",0.72%,"4.58MB / 6.01MB","0B / 0B",37
1740725243,539c889625b4,reverse-proxy-api-1,539c889625b4,0.34%,"106.9MiB / 7.637GiB",1.37%,"3.43MB / 2.25MB","0B / 0B",25
1740725256,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,6.58%,"11.75MiB / 20MiB",58.77%,"251MB / 215MB","0B / 0B",12
1740725256,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.15%,"56.22MiB / 7.637GiB",0.72%,"4.64MB / 6.09MB","0B / 0B",37
1740725256,539c889625b4,reverse-proxy-api-1,539c889625b4,0.31%,"110.4MiB / 7.637GiB",1.41%,"3.48MB / 2.28MB","0B / 0B",21
1740725268,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,5.17%,"11.61MiB / 20MiB",58.05%,"253MB / 217MB","0B / 0B",12
1740725268,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.18%,"56.23MiB / 7.637GiB",0.72%,"4.73MB / 6.2MB","0B / 0B",37
1740725268,539c889625b4,reverse-proxy-api-1,539c889625b4,0.88%,"110.7MiB / 7.637GiB",1.42%,"3.54MB / 2.32MB","0B / 0B",24
1740725280,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,5.20%,"11.6MiB / 20MiB",57.99%,"256MB / 219MB","0B / 0B",12
1740725280,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.09%,"56.32MiB / 7.637GiB",0.72%,"4.79MB / 6.28MB","0B / 0B",37
1740725280,539c889625b4,reverse-proxy-api-1,539c889625b4,0.25%,"110.7MiB / 7.637GiB",1.42%,"3.59MB / 2.35MB","0B / 0B",22
1740725292,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,18.72%,"11.59MiB / 20MiB",57.95%,"259MB / 222MB","0B / 0B",12
1740725292,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.26%,"56.31MiB / 7.637GiB",0.72%,"4.84MB / 6.35MB","0B / 0B",37
1740725292,539c889625b4,reverse-proxy-api-1,539c889625b4,0.24%,"110.6MiB / 7.637GiB",1.41%,"3.63MB / 2.37MB","0B / 0B",22
1740725304,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,8.21%,"11.63MiB / 20MiB",58.14%,"262MB / 225MB","0B / 0B",12
1740725304,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.15%,"55.7MiB / 7.637GiB",0.71%,"4.95MB / 6.49MB","0B / 0B",37
1740725304,539c889625b4,reverse-proxy-api-1,539c889625b4,0.21%,"112.5MiB / 7.637GiB",1.44%,"3.71MB / 2.43MB","0B / 0B",24
1740725316,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,10.07%,"11.6MiB / 20MiB",57.99%,"266MB / 228MB","0B / 0B",12
1740725316,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.60%,"55.71MiB / 7.637GiB",0.71%,"5.11MB / 6.7MB","0B / 0B",37
1740725316,539c889625b4,reverse-proxy-api-1,539c889625b4,50.85%,"112.1MiB / 7.637GiB",1.43%,"3.83MB / 2.5MB","0B / 0B",26
1740725329,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,13.99%,"11.5MiB / 20MiB",57.48%,"270MB / 231MB","0B / 0B",12
1740725329,5d612e15036f,reverse-proxy-lb-1,5d612e15036f,0.84%,"55.33MiB / 7.637GiB",0.71%,"5.17MB / 6.78MB","0B / 0B",37
1740725329,539c889625b4,reverse-proxy-api-1,539c889625b4,46.92%,"112MiB / 7.637GiB",1.43%,"3.87MB / 2.53MB","0B / 0B",23
1740725341,58377adf84d5,reverse-proxy-cache-1,58377adf84d5,6.49%,"12.2MiB / 20MiB",61.00%,"274MB / 234MB","0B / 0B",12
